name,smiles,p_crbn_glue,error
cand_0,CCc1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.97,
cand_1,O=C1CCC(N2C(=O)c3cccc(-c4ccc(N5CCNCC5)cc4)c3C2=O)C(=O)N1,1.0,
cand_2,O=C1CCC(N2C(=O)c3c(F)ccc(Br)c3C2=O)C(=O)N1,0.91,
cand_3,COc1ccc(S(N)(=O)=O)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.91,
cand_4,O=C1CCC(N2C(=O)c3cccc([N+](=O)[O-])c3C2=O)C(=O)N1,0.915,
cand_5,O=C1CCC(N2Cc3cc([N+](=O)[O-])ccc3C2=O)C(=O)N1,0.905,
cand_6,O=C1CCC(N2C(=O)c3cccc(I)c3C2=O)C(=O)N1,0.95,
cand_7,O=C1CCC(N2Cc3ccc(Cl)cc3C2=O)C(=O)N1,0.985,
cand_8,O=C1CCC(N2Cc3c(ccc(-c4ccc(N5CCNCC5)cc4)c3Br)C2=O)C(=O)N1,0.98,
cand_9,Cc1ccc2c(c1Br)C(=O)N(C1CCC(=O)NC1=O)C2,0.905,
cand_10,CCc1cc(Br)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.95,
cand_11,NS(=O)(=O)c1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.975,
cand_12,O=C1CCC(N2Cc3ccc(C(F)(F)F)cc3C2=O)C(=O)N1,0.995,
cand_13,O=C1CCC(N2C(=O)c3ccc(Br)c(O)c3C2=O)C(=O)N1,0.99,
cand_14,O=C1CCC(N2C(=O)c3cccc(C(=O)O)c3C2=O)C(=O)N1,0.965,
cand_15,O=C1CCC(N2Cc3cc([N+](=O)[O-])c(Cl)cc3C2=O)C(=O)N1,0.92,
cand_16,O=C1CCC(N2C(=O)c3ccc(C(=O)O)cc3C2=O)C(=O)N1,0.975,
cand_17,Nc1cc2c(c(S(N)(=O)=O)c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.94,
cand_18,O=C1CCC(N2Cc3cc(-c4ccc(N5CCNCC5)cc4)ccc3C2=O)C(=O)N1,0.92,
cand_19,O=C1CCC(N2Cc3ccc(C(F)(F)F)c(C(=O)O)c3C2=O)C(=O)N1,0.915,
cand_20,O=C1CCC(N2C(=O)c3cccc(Br)c3C2=O)C(=O)N1,0.99,
cand_21,O=C1CCC(N2C(=O)c3ccc(O)cc3C2=O)C(=O)N1,1.0,
cand_22,NS(=O)(=O)c1ccc2c(c1C(=O)O)CN(C1CCC(=O)NC1=O)C2=O,0.975,
cand_23,O=C1CCC(N2Cc3c(I)cc(-c4ccc(N5CCNCC5)cc4)cc3C2=O)C(=O)N1,0.9,
cand_24,N#Cc1cc(C(N)=O)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2,0.895,
cand_25,COc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.995,
cand_26,CN(C)c1cc(C#N)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.945,
cand_27,O=C1CCC(N2C(=O)c3cc(F)c(I)cc3C2=O)C(=O)N1,0.945,
cand_28,O=C1CCC(N2Cc3cc(Cl)ccc3C2=O)C(=O)N1,0.98,
cand_29,CNc1ccc(Br)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.91,
