name,smiles,p_crbn_binder,p_crbn_glue,rank_03,rank_04,combined_rank
cand_21,O=C1CCC(N2C(=O)c3ccc(O)cc3C2=O)C(=O)N1,0.995,1.0,2,2,4
cand_274,O=C1CCC(N2Cc3c(O)cccc3C2=O)C(=O)N1,0.995,1.0,10,21,31
cand_84,Nc1ccc2c(c1)CN(C1CCC(=O)NC1=O)C2=O,1.0,0.995,31,1,32
cand_220,O=C1CCC(N2Cc3cc(F)ccc3C2=O)C(=O)N1,0.995,0.995,33,17,50
cand_148,O=C1CCC(N2C(=O)c3ccc(O)c(O)c3C2=O)C(=O)N1,0.99,1.0,5,52,57
cand_2149,O=C1CCC(N2Cc3c(ccc(O)c3C(F)(F)F)C2=O)C(=O)N1,0.995,1.0,25,39,64
cand_12,O=C1CCC(N2Cc3ccc(C(F)(F)F)cc3C2=O)C(=O)N1,0.99,0.995,27,45,72
cand_60,O=C1CCC(N2Cc3c(Br)cccc3C2=O)C(=O)N1,0.99,0.995,30,47,77
cand_39,Cc1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.995,0.99,73,5,78
cand_1,O=C1CCC(N2C(=O)c3cccc(-c4ccc(N5CCNCC5)cc4)c3C2=O)C(=O)N1,0.985,1.0,1,80,81
cand_54,O=C1CCC(N2Cc3ccc(Br)cc3C2=O)C(=O)N1,0.995,0.99,75,7,82
cand_49,O=C1CCC(N2C(=O)c3cccc(O)c3C2=O)C(=O)N1,0.985,1.0,3,82,85
cand_66,O=C1CCC(N2Cc3c(cccc3C(F)(F)F)C2=O)C(=O)N1,0.995,0.99,77,9,86
cand_68,O=C1CCC(N2Cc3c(ccc(O)c3O)C2=O)C(=O)N1,0.995,0.99,78,10,88
cand_140,Cc1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2,0.995,0.99,81,13,94
cand_146,O=C1CCC(N2Cc3ccc(F)cc3C2=O)C(=O)N1,0.995,0.99,82,14,96
cand_177,O=C1CCC(N2Cc3c(cccc3-c3ccc(N4CCNCC4)cc3)C2=O)C(=O)N1,0.985,1.0,6,91,97
cand_181,CN(C)c1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,0.995,0.99,84,15,99
