name,crbn_affinity,ppil4_affinity,combined_affinity,score,dockq,irmsd,fnat,lrmsd
cand_80,-8.196,-6.593,-14.789,-151.273,0.621,1.766,0.730,14.685
cand_2392,-9.107,-6.226,-15.332999999999998,-159.775,0.580,2.957,0.712,24.191
cand_2123,-9.7,-6.367,-16.067,-144.609,0.498,4.288,0.586,31.448
cand_491,-9.188,-5.797,-14.985,-144.609,0.498,4.288,0.586,31.448
cand_72,-8.333,-6.457,-14.79,-121.580,0.483,3.787,0.533,21.759
cand_465,-9.932,-5.874,-15.806000000000001,-135.713,0.468,5.842,0.512,51.392
cand_1987,-9.759,-5.98,-15.739,-135.713,0.468,5.842,0.512,51.392
cand_1959,-9.712,-5.947,-15.658999999999999,-135.713,0.468,5.842,0.512,51.392
cand_381,-10.193,-5.924,-16.117,-135.713,0.468,5.842,0.512,51.392
cand_1092,-9.927,-5.978,-15.905,-135.713,0.468,5.842,0.512,51.392
cand_1668,-9.201,-5.64,-14.841000000000001,-135.713,0.468,5.842,0.512,51.392
cand_672,-9.163,-7.207,-16.37,-156.118,0.409,5.414,0.554,49.877
cand_708,-9.508,-6.463,-15.971,-156.118,0.409,5.414,0.554,49.877
cand_271,-9.951,-5.92,-15.871,-156.118,0.409,5.414,0.554,49.877
cand_528,-9.967,-5.845,-15.812000000000001,-156.118,0.409,5.414,0.554,49.877
cand_1,-9.215,-6.225,-15.44,-156.118,0.409,5.414,0.554,49.877
cand_2426,-8.771,-6.489,-15.260000000000002,-116.153,0.381,3.822,0.527,54.003
cand_1992,-9.364,-6.635,-15.999,-117.639,0.354,4.961,0.480,44.377
cand_234,-9.282,-5.977,-15.259,-117.639,0.354,4.961,0.480,44.377
cand_1924,-8.996,-5.986,-14.982,-117.639,0.354,4.961,0.480,44.377
cand_42,-7.859,-6.989,-14.847999999999999,-133.299,0.341,3.490,0.414,43.510
cand_934,-8.549,-6.326,-14.875,-143.472,0.318,5.749,0.411,69.237
cand_1915,-8.604,-6.142,-14.745999999999999,-143.472,0.318,5.749,0.411,69.237
cand_1360,-9.89,-5.963,-15.853000000000002,-137.888,0.301,7.643,0.379,67.922
