name,cluster_rank,cluster_id,n,score,dockq,irmsd,fnat,lrmsd
cand_1992,1,6,10,-99.787,0.045,11.007,0.103,73.418
cand_779,1,6,10,-99.787,0.045,11.007,0.103,73.418
cand_445,1,6,10,-99.787,0.045,11.007,0.103,73.418
cand_1078,1,6,10,-99.787,0.045,11.007,0.103,73.418
cand_234,1,6,10,-99.787,0.045,11.007,0.103,73.418
cand_80,1,1,40,-87.533,0.035,13.412,0.088,127.113
cand_2392,1,1,59,-88.916,0.751,0.649,0.907,8.579
cand_2123,1,1,100,-93.654,0.849,0.552,0.886,3.743
cand_491,1,1,100,-93.654,0.849,0.552,0.886,3.743
cand_72,1,4,17,-85.341,0.742,0.579,0.842,8.460
cand_381,1,3,22,-85.969,0.031,13.060,0.076,129.041
cand_1092,1,3,22,-85.969,0.031,13.060,0.076,129.041
cand_465,1,3,22,-85.969,0.031,13.060,0.076,129.041
cand_1987,1,3,22,-85.969,0.031,13.060,0.076,129.041
cand_1959,1,3,22,-85.969,0.031,13.060,0.076,129.041
cand_1668,1,3,22,-85.969,0.031,13.060,0.076,129.041
cand_672,1,9,7,-83.897,0.039,9.169,0.087,121.188
cand_708,1,9,7,-83.897,0.039,9.169,0.087,121.188
