molecule,mean_best_10,best_haddock,sd_best_10,dockq_vs_9dwv,cluster_id,n_models,protocol_version
cand_708,-132.101,-163.314,12.023,,2,160,ppil4_lock_v1
cand_491,-132.082,-148.067,7.555,,2,163,ppil4_lock_v1
cand_1987,-129.905,-144.398,6.387,,5,174,ppil4_lock_v1
cand_1959,-128.409,-140.851,6.043,,3,171,ppil4_lock_v1
cand_465,-127.583,-132.816,3.472,,7,179,ppil4_lock_v1
cand_1992,-127.205,-132.65,3.711,,1,165,ppil4_lock_v1
cand_2392,-126.909,-141.788,7.059,,2,157,ppil4_lock_v1
cand_234,-125.588,-143.383,7.142,,6,160,ppil4_lock_v1
cand_2123,-125.387,-133.144,6.958,,2,169,ppil4_lock_v1
cand_1668,-125.157,-130.225,1.988,,1,167,ppil4_lock_v1
cand_445,-125.144,-132.738,4.045,,3,156,ppil4_lock_v1
cand_779,-124.444,-132.824,4.661,,1,163,ppil4_lock_v1
cand_381,-123.876,-134.257,6.289,,2,162,ppil4_lock_v1
cand_1092,-123.289,-131.596,4.387,,2,172,ppil4_lock_v1
cand_1078,-122.632,-130.648,4.925,,3,166,ppil4_lock_v1
cand_80,-119.991,-140.112,10.648,,1,153,ppil4_lock_v1
cand_72,-118.805,-126.82,6.095,,2,146,ppil4_lock_v1
cand_672,-112.108,-120.765,5.062,,3,157,ppil4_lock_v1
