name,cluster_rank,cluster_id,n,score,dockq,irmsd,fnat,lrmsd
cand_779,1,3,7,-134.309,0.531,2.081,0.786,16.298
cand_445,1,1,124,-124.051,0.177,6.635,0.423,56.066
cand_1078,1,1,135,-125.842,0.495,2.464,0.734,19.546
cand_234,1,1,130,-125.053,0.121,9.809,0.325,82.386
cand_80,1,1,94,-123.604,0.152,5.217,0.341,47.900
cand_2392,1,4,7,-130.928,0.203,3.385,0.420,60.700
cand_2123,1,2,20,-124.536,0.483,1.937,0.725,29.882
cand_491,1,1,115,-133.795,0.579,1.522,0.833,15.361
cand_72,1,5,5,-116.609,0.313,2.633,0.646,44.242
cand_381,1,5,5,-132.100,0.582,1.711,0.730,9.392
cand_1092,1,4,8,-123.364,0.330,2.860,0.650,32.845
cand_465,1,1,131,-129.391,0.402,4.452,0.604,38.894
cand_1987,1,1,128,-134.087,0.475,3.201,0.712,32.369
cand_1959,1,1,124,-130.648,0.212,5.741,0.470,50.787
cand_1668,1,2,25,-138.409,0.619,1.380,0.823,12.375
cand_672,1,1,129,-115.897,0.382,9.530,0.618,64.171
cand_708,1,6,5,-136.257,0.579,1.476,0.815,17.483
cand_1992,1,2,10,-124.156,0.462,2.450,0.644,28.540
