name,old_dockq_selfref,old_score,dockq_vs_9dwv,irmsd_vs_9dwv,fnat_vs_9dwv,lrmsd_vs_9dwv,ilrmsd_vs_9dwv,global_rmsd_vs_9dwv
cand_127,0.666,-112.004,0.0065,29.5629,0.0000,64.5172,66.9623,26.7707
cand_65,0.666,-112.004,0.0065,29.5629,0.0000,64.5172,66.9623,26.7707
cand_415,0.666,-112.004,0.0065,29.5629,0.0000,64.5172,66.9623,26.7707
cand_70,0.666,-112.004,0.0065,29.5629,0.0000,64.5172,66.9623,26.7707
cand_12,0.666,-112.004,0.0065,29.5629,0.0000,64.5172,66.9623,26.7707
cand_265,0.666,-112.004,0.0065,29.5629,0.0000,64.5172,66.9623,26.7707
cand_136,0.666,-112.004,0.0065,29.5629,0.0000,64.5172,66.9623,26.7707
cand_231,0.666,-112.004,0.0065,29.5629,0.0000,64.5172,66.9623,26.7707
cand_146,0.666,-112.004,0.0065,29.5629,0.0000,64.5172,66.9623,26.7707
cand_54,0.717,-107.082,0.0064,28.9899,0.0000,65.8189,67.5747,26.1751
cand_324,0.764,-101.446,0.0062,29.7111,0.0000,66.6538,68.3932,26.7322
cand_478,0.764,-101.446,0.0062,29.7111,0.0000,66.6538,68.3932,26.7322
cand_224,0.764,-101.446,0.0062,29.7111,0.0000,66.6538,68.3932,26.7322
cand_266,0.764,-101.446,0.0062,29.7111,0.0000,66.6538,68.3932,26.7322
cand_205,0.764,-101.446,0.0062,29.7111,0.0000,66.6538,68.3932,26.7322
cand_13,0.699,-116.586,0.0058,28.7708,0.0000,69.3367,68.7459,26.0296
cand_211,0.081,-105.181,0.0058,36.6248,0.0000,67.4167,83.8403,32.0261
cand_160,0.029,-100.314,0.0043,35.6747,0.0000,79.5651,89.6382,30.3392
cand_5,0.856,-119.999,0.0033,37.7661,0.0000,93.3883,88.7249,32.8357
cand_123,0.856,-119.999,0.0033,37.7661,0.0000,93.3883,88.7249,32.8357
