comparative_haddock_rank,source,molecule,label,guided_selection_rank,vina_rank,canonical_smiles,rf_active_probability,vina_score_kcal_mol,models_scored,best_haddock_score,mean_best_10_haddock_score,sd_best_10_haddock_score,median_haddock_score,worst_haddock_score,guided_config
1,corrected halogen retry,1323,candidate_1323,20,226,N#Cc1c(Br)cc2c(c1C#N)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.984,-8.586,200,-505.586,-485.033,13.965,-427.170,-384.088,haddock3_ternary/guided_ppil4_9DWV_halogen_retry_baseline/rank226_molecule_1323/guided_ppil4_haddock.cfg
2,corrected halogen retry,44,candidate_44,9,80,O=C1CCC(N2C(=O)c3ccc(I)c(Br)c3C2=O)C(=O)N1,0.986,-9.404,200,-500.260,-479.761,11.044,-430.713,-387.731,haddock3_ternary/guided_ppil4_9DWV_halogen_retry_baseline/rank080_molecule_44/guided_ppil4_haddock.cfg
3,corrected halogen retry,33,candidate_33,16,74,O=C1CCC(N2C(=O)c3ccc(Br)c(Cl)c3C2=O)C(=O)N1,0.98,-9.435,200,-506.164,-476.130,13.878,-427.329,-376.368,haddock3_ternary/guided_ppil4_9DWV_halogen_retry_baseline/rank074_molecule_33/guided_ppil4_haddock.cfg
4,corrected halogen retry,150,candidate_150,24,233,N#Cc1cc(Br)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.984,-8.428,200,-490.691,-474.373,9.250,-423.911,-383.022,haddock3_ternary/guided_ppil4_9DWV_halogen_retry_baseline/rank233_molecule_150/guided_ppil4_haddock.cfg
5,FPFT-2216 native-pose protocol baseline,FPFT-2216,FPFT-2216_9DWV_native_pose_baseline,,,,,,200,-494.545,-474.015,11.080,-427.363,-382.359,haddock3_ternary/guided_ppil4_9DWV_halogen_retry_baseline/baseline_fpft2216_9DWV/guided_ppil4_haddock.cfg
6,corrected halogen retry,773,candidate_773,28,241,Cc1c(Br)cc2c(c1C)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.978,-8.365,200,-491.111,-471.711,11.942,-427.069,-390.947,haddock3_ternary/guided_ppil4_9DWV_halogen_retry_baseline/rank241_molecule_773/guided_ppil4_haddock.cfg
7,corrected halogen retry,163,candidate_163,25,228,Cc1cc(Br)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.972,-8.522,200,-505.961,-467.451,15.264,-427.954,-379.934,haddock3_ternary/guided_ppil4_9DWV_halogen_retry_baseline/rank228_molecule_163/guided_ppil4_haddock.cfg
8,corrected halogen retry,47,candidate_47,4,113,O=C1CCC(N2C(=O)c3ccc(O)c(Br)c3C2=O)C(=O)N1,0.99,-9.289,200,-491.535,-466.642,13.351,-417.606,-381.023,haddock3_ternary/guided_ppil4_9DWV_halogen_retry_baseline/rank113_molecule_47/guided_ppil4_haddock.cfg
9,corrected halogen retry,45,candidate_45,19,70,Cc1ccc2c(c1Br)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.978,-9.448,200,-497.533,-465.180,14.224,-416.802,-387.095,haddock3_ternary/guided_ppil4_9DWV_halogen_retry_baseline/rank070_molecule_45/guided_ppil4_haddock.cfg
10,corrected halogen retry,3,candidate_3,13,128,O=C1CCC(N2C(=O)c3cccc(Br)c3C2=O)C(=O)N1,0.984,-9.246,200,-483.711,-464.621,10.147,-419.163,-379.950,haddock3_ternary/guided_ppil4_9DWV_halogen_retry_baseline/rank128_molecule_3/guided_ppil4_haddock.cfg
11,corrected halogen retry,537,candidate_537,27,246,O=C1CCC(N2C(=O)c3cc(O)c(F)c(Br)c3C2=O)C(=O)N1,0.982,-8.345,200,-496.494,-463.890,15.114,-418.252,-367.938,haddock3_ternary/guided_ppil4_9DWV_halogen_retry_baseline/rank246_molecule_537/guided_ppil4_haddock.cfg
12,corrected halogen retry,107,candidate_107,30,202,Nc1c(O)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.974,-8.878,200,-472.984,-458.601,8.492,-414.864,-371.092,haddock3_ternary/guided_ppil4_9DWV_halogen_retry_baseline/rank202_molecule_107/guided_ppil4_haddock.cfg
13,corrected halogen retry,63,candidate_63,1,46,Cc1c(Br)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.98,-9.542,200,-496.121,-457.660,16.435,-416.154,-380.363,haddock3_ternary/guided_ppil4_9DWV_halogen_retry_baseline/rank046_molecule_63/guided_ppil4_haddock.cfg
14,original candidate run,119,candidate_119,23,116,N#Cc1c(N)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.974,-9.288,200,-359.491,-341.094,6.723,-324.986,-315.332,haddock3_ternary/guided_ppil4_9DWV/rank116_molecule_119/guided_ppil4_haddock.cfg
15,original candidate run,6,candidate_6,5,126,CCc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.982,-9.253,200,-357.535,-341.035,8.421,-321.583,-314.092,haddock3_ternary/guided_ppil4_9DWV/rank126_molecule_6/guided_ppil4_haddock.cfg
16,original candidate run,7,candidate_7,8,98,O=C1CCC(N2C(=O)c3cccc(O)c3C2=O)C(=O)N1,0.988,-9.355,200,-359.505,-339.685,6.968,-321.380,-312.007,haddock3_ternary/guided_ppil4_9DWV/rank098_molecule_7/guided_ppil4_haddock.cfg
17,original candidate run,171,candidate_171,21,79,CCc1cc(F)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.976,-9.406,200,-356.861,-338.498,6.656,-322.981,-314.757,haddock3_ternary/guided_ppil4_9DWV/rank079_molecule_171/guided_ppil4_haddock.cfg
18,original candidate run,27,candidate_27,6,135,O=C1CCC(N2C(=O)c3ccc(O)c(F)c3C2=O)C(=O)N1,0.986,-9.208,200,-359.043,-337.327,7.730,-320.575,-310.828,haddock3_ternary/guided_ppil4_9DWV/rank135_molecule_27/guided_ppil4_haddock.cfg
19,original candidate run,17,candidate_17,2,199,O=C1CCC(N2C(=O)c3ccc(O)cc3C2=O)C(=O)N1,0.994,-8.901,200,-338.674,-337.245,0.696,-321.787,-312.749,haddock3_ternary/guided_ppil4_9DWV/rank199_molecule_17/guided_ppil4_haddock.cfg
20,original candidate run,14,candidate_14,15,143,O=C1CCC(N2C(=O)c3ccc(I)cc3C2=O)C(=O)N1,0.986,-9.179,200,-339.911,-337.066,1.515,-321.496,-312.249,haddock3_ternary/guided_ppil4_9DWV/rank143_molecule_14/guided_ppil4_haddock.cfg
21,original candidate run,337,candidate_337,18,248,O=C1CCC(N2C(=O)c3cc(O)c(F)c(F)c3C2=O)C(=O)N1,0.986,-8.331,200,-339.834,-336.540,2.150,-320.990,-312.273,haddock3_ternary/guided_ppil4_9DWV/rank248_molecule_337/guided_ppil4_haddock.cfg
22,original candidate run,118,candidate_118,7,115,COc1ccc2c(c1C#N)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.976,-9.288,200,-339.279,-336.480,2.065,-321.412,-312.211,haddock3_ternary/guided_ppil4_9DWV/rank115_molecule_118/guided_ppil4_haddock.cfg
23,original candidate run,67,candidate_67,11,99,Cc1c(O)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.982,-9.355,200,-338.892,-336.392,1.797,-323.991,-313.819,haddock3_ternary/guided_ppil4_9DWV/rank099_molecule_67/guided_ppil4_haddock.cfg
24,original candidate run,34,candidate_34,22,95,O=C1CCC(N2C(=O)c3ccc(I)c(Cl)c3C2=O)C(=O)N1,0.978,-9.369,200,-338.368,-336.324,1.110,-321.583,-313.243,haddock3_ternary/guided_ppil4_9DWV/rank095_molecule_34/guided_ppil4_haddock.cfg
25,original candidate run,64,candidate_64,14,59,Cc1c(I)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.98,-9.478,200,-339.073,-336.187,1.696,-323.640,-312.200,haddock3_ternary/guided_ppil4_9DWV/rank059_molecule_64/guided_ppil4_haddock.cfg
26,original candidate run,186,candidate_186,17,178,CCc1cc(O)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.98,-9.029,200,-339.214,-336.064,2.844,-319.868,-312.411,haddock3_ternary/guided_ppil4_9DWV/rank178_molecule_186/guided_ppil4_haddock.cfg
27,original candidate run,71,candidate_71,26,180,CCc1c(F)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.976,-9.02,200,-339.701,-335.188,2.882,-321.563,-312.878,haddock3_ternary/guided_ppil4_9DWV/rank180_molecule_71/guided_ppil4_haddock.cfg
28,original candidate run,58,candidate_58,29,201,COc1ccc2c(c1I)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.976,-8.879,200,-338.904,-334.990,2.328,-322.049,-311.430,haddock3_ternary/guided_ppil4_9DWV/rank201_molecule_58/guided_ppil4_haddock.cfg
29,original candidate run,57,candidate_57,3,108,O=C1CCC(N2C(=O)c3ccc(O)c(I)c3C2=O)C(=O)N1,0.99,-9.311,200,-336.847,-334.938,1.018,-319.638,-310.227,haddock3_ternary/guided_ppil4_9DWV/rank108_molecule_57/guided_ppil4_haddock.cfg
30,original candidate run,37,candidate_37,10,124,O=C1CCC(N2C(=O)c3ccc(O)c(Cl)c3C2=O)C(=O)N1,0.984,-9.262,200,-337.817,-334.825,1.093,-323.714,-313.156,haddock3_ternary/guided_ppil4_9DWV/rank124_molecule_37/guided_ppil4_haddock.cfg
31,original candidate run,181,candidate_181,12,69,O=C1CCC(N2C(=O)c3cc(F)cc(O)c3C2=O)C(=O)N1,0.982,-9.449,200,-335.665,-333.825,0.837,-319.407,-311.550,haddock3_ternary/guided_ppil4_9DWV/rank069_molecule_181/guided_ppil4_haddock.cfg

