Warning: truncated output (original token count: 128383)
Total output lines: 3601

guided_selection_rank,molecule,vina_rank,model_score_rank,structure,original_name,haddock_score,model_path
2,17,199,1,emscoring_105.pdb,emref_105.pdb,-338.674,haddock3_ternary/guided_ppil4_9DWV/rank199_molecule_17/run/3_emscoring/emscoring_105.pdb
2,17,199,2,emscoring_35.pdb,emref_35.pdb,-338.262,haddock3_ternary/guided_ppil4_9DWV/rank199_molecule_17/run/3_emscoring/emscoring_35.pdb
2,17,199,3,emscoring_141.pdb,emref_141.pdb,-337.328,haddock3_ternary/guided_ppil4_9DWV/rank199_molecule_17/run/3_emscoring/emscoring_141.pdb
2,17,199,4,emscoring_19.pdb,emref_19.pdb,-337.264,haddock3_ternary/guided_ppil4_9DWV/rank199_molecule_17/run/3_emscoring/emscoring_19.pdb
2,17,199,5,emscoring_165.pdb,emref_165.pdb,-337.114,haddock3_ternary/guided_ppil4_9DWV/rank199_molecule_17/run/3_emscoring/emscoring_165.pdb
2,17,199,6,emscoring_36.pdb,emref_36.pdb,-336.925,haddock3_ternary/guided_ppil4_9DWV/rank199_molecule_17/run/3_emscoring/emscoring_36.pdb
2,17,199,7,emscoring_104.pdb,emref_104.pdb,-336.877,haddock3_ternary/guided_ppil4_9DWV/rank199_molecule_17/run/3_emscoring/emscoring_104.pdb
2,17,199,8,emscoring_193.pdb,emref_193.pdb,-336.797,haddock3_ternary/guided_ppil4_9DWV/rank199_molecule_17/run/3_emscoring/emscoring_193.pdb
2,17,199,9,emscoring_58.pdb,emref_58.pdb,-336.673,haddock3_ternary/guided_ppil4_9DWV/rank199_molecule_17/run/3_emscoring/emscoring_58.pdb
2,17,199,10,emscoring_43.pdb,emref_43.pdb,-336.540,haddock3_ternary/guided_ppil4_9DWV/rank199_molecule_17/run/3_emscoring/emscoring_43.pdb
2,17,199,11,emscoring_135.pdb,emref_135.pdb,-335.980,haddock3_ternary/guided_ppil4_9DWV/rank199_molecule_17/run/3_emscoring/emscoring_135.pdb
2,17,199,12,emscoring_69.pdb,emref_69.pdb,-335.634,haddock3_ternary/guided_ppil4_9DWV/rank199_molecule_17/run/3_emscoring/emscoring_69.pdb
2,17,199,13,emscoring_3.pdb,emref_3.pdb,-335.613,haddock3_ternary/guided_ppil4_9DWV/rank199_molecule_17/run/3_emscoring/emscoring_3.pdb
2,17,199,14,emscoring_76.pdb,emref_76.pdb,-335.513,haddock3_ternary/guided_ppil4_9DWV/rank199_molecule_17/run/3_emscoring/emscoring_76.pdb
2,17,199,15,emscoring_56.pdb,emref_56.pdb,-335.465,haddock3_ternary/guided_ppil4_9DWV/rank199_molecule_17/run/3_emscoring/emscoring_56.pdb
2,17,199,16,emscoring_133.pdb,emref_133.pdb,-335.397,haddock3_ternary/guided_ppil4_9DWV/rank199_molecule_17/run/3_emscoring/emscoring_133.pdb
2,17,199,17,emscoring_174.pdb,emref_174.pdb,-335.100,haddock3_ternary/guided_ppil4_9DWV/rank199_molecule_17/run/3_emscoring/emscoring_174.pdb
2,17,199,18,emscoring_39.pdb,emref_39.pdb,-334.941,haddock3_ternary/guided_ppil4_9DWV/rank199_molecule_17/run/3_emscoring/emscoring_39.pdb
2,17,199,19,emscoring_198.pdb,emref_198.pdb,-334.512,haddock3_ternary/guided_ppil4_9DWV/rank199_molecule_17/run/3_emscoring/emscoring_198.pdb
2,17,199,20,emscoring_172.pdb,emref_172.pdb,-332.598,haddock3_ternary/guided_ppil4_9DWV/rank199_molecule_17/run/3_emscoring/emscoring_172.pdb
2,17,199,21,emscoring_191.pdb,emref_191.pdb,-332.216,haddock3_ternary/guided_ppil4_9DWV/rank199_molecule_17/run/3_emscoring/emscoring_191.pdb
2,17,199,22,emscoring_82.pdb,emref_82.pdb,-331.853,haddock3_ternary/guided_ppil4_9DWV/rank199_molecule_17/run/3_emscoring/emscoring_82.pdb
2,17,199,23,emscoring_126.pdb,emref_126.pdb,-331.377,haddock3_ternary/guided_ppil4_9DWV/rank199_molecule_17/run/3_emscoring/emscoring_126.pdb
2,17,199,24,emscoring_95.pdb,emref_95.pdb,-331.190,haddock3_ternary/guided_ppil4_9DWV/rank199_molecule_17/run/3_emscoring/emscoring_95.pdb
2,17,199,25,emscoring_195.pdb,emref_195.pdb,-331.075,haddock3_ternary/guided_ppil4_9DWV/rank199_molecule_17/run/3_emscoring/emscoring_195.pdb
2,17,199,26,emscoring_155.pdb,emref_155.pdb,-330.282,haddock3_ternary/guided_ppil4_9DWV/rank199_molecule_17/run/3_emscoring/emscoring_155.pdb
2,17,199,27,emscoring_134.pdb,emref_134.pdb,-329.664,haddock3_ternary/guided_ppil4_9DWV/rank199_molecule_17/run/3_emscoring/emscoring_134.pdb
2,17,199,28,emscoring_117.pdb,emref_117.pdb,-329.048,haddock3_ternary/guided_ppil4_9DWV/rank199_molecule_17/run/3_emscoring/emscoring_117.pdb
2,17,199,29,emscoring_64.pdb,emref_64.pdb,-328.668,haddock3_ternary/guided_ppil4_9DWV/rank199_molecule_17/run/3_emscoring/emscoring_64.pdb
2,17,199,30,emscoring_194.pdb,emref_194.pdb,-328.213,haddock3_ternary/guided_ppil4_9DWV/rank199_molecule_17/run/3_emscoring/emscoring_194.pdb
2,17,199,31,emscoring_12.pdb,emref_12.pdb,-327.811,haddock3_ternary/guided_ppil4_9DWV/rank199_molecule_17/run/3_emscoring/emscoring_12.pdb
2,17,199,32,emscoring_111.pdb,emref_111.pdb,-327.808,haddock3_ternary/guided_ppil4_9DWV/rank199_molecule_17/run/3_emscoring/emscoring_111.pdb
2,17,199,33,emscoring_72.pdb,emref_72.pdb,-327.668,haddock3_ternary/guided_ppil4_9DWV/rank199_molecule_17/run/3_emscoring/emscoring_72.pdb
2,17,199,34,emscoring_196.pdb,emref_196.pdb,-327.663,haddock3_ternary/guided_ppil4_9DWV/rank199_molecule_17/run/3_emscoring/emscoring_196.pdb
2,17,199,35,emscoring_149.pdb,emref_149.pdb,-327.662,haddock3_ternary/guided_ppil4_9DWV/rank199_molecule_17/run/3_emscoring/emscoring_149.pdb
2,17,199,36,emscoring_87.pdb,emref_87.pdb,-327.557,haddock3_ternary/guided_ppil4_9DWV/rank199_molecule_17/run/3_emscoring/emscoring_87.pdb
2,17,199,37,emscoring_44.pdb,emref_44.pdb,-327.460,haddock3_ternary/guided_ppil4_9DWV/rank199_molecule_17/run/3_emscoring/emscoring_44.pdb
2,17,199,38,emscoring_49.pdb,emref_49.pdb,-327.454,haddock3_ternary/guided_ppil4_9DWV/rank199_molecule_17/run/3_emscoring/emscoring_49.pdb
2,17,199,39,emscoring_156.pdb,emref_156.pdb,-327.400,haddock3_ternary/guided_ppil4_9DWV/rank199_molecule_17/run/3_emscoring/emscoring_156.pdb
2,17,199,40,emscoring_20.pdb,emref_20.pdb,-327.375,haddock3_ternary/guided_ppil4_9DWV/rank199_molecule_17/run/3_emscoring/emscoring_20.pdb
2,17,199,41,emscoring_119.pdb,emref_119.pdb,-327.373,haddock3_ternary/guided_ppil4_9DWV/rank199_molecule_17/run/3_emscoring/emscoring_119.pdb
2,17,199,42,emscoring_65.pdb,emref_65.pdb,-327.359,haddock3_ternary/guided_ppil4_9DWV/rank199_molecule_17/run/3_emscoring/emscoring_65.pdb
2,17,199,43,emscoring_166.pdb,emref_166.pdb,-327.354,haddock3_ternary/guided_ppil4_9DWV/rank199_molecule_17/run/3_emscoring/emscoring_166.pdb
2,17,199,44,emscoring_128.pdb,emref_128.pdb,-327.236,haddock3_ternary/guided_ppil4_9DWV/rank199_molecule_17/run/3_emscoring/emscoring_128.pdb
2,17,199,45,emscoring_21.pdb,emref_21.pdb,-327.127,haddock3_ternary/guided_ppil4_9DWV/rank199_molecule_17/run/3_emscoring/emscoring_21.pdb
2,17,199,46,emscoring_10.pdb,emref_10.pdb,-326.739,haddock3_ternary/guided_ppil4_9DWV/rank199_molecule_17/run/3_emscoring/emscoring_10.pdb
2,17,199,47,emscoring_41.pdb,emref_41.pdb,-326.695,haddock3_ternary/guided_ppil4_9DWV/rank199_molecule_17/run/3_emscoring/emscoring_41.pdb
2,17,199,48,emscoring_34.pdb,emref_34.pdb,-326.609,haddock3_ternary/guided_ppil4_9DWV/rank199_molecule_17/run/3_emscoring/emscoring_34.pdb
2,17,199,49,emscoring_179.pdb,emref_179.pdb,-326.568,haddock3_ternary/guided_ppil4_9DWV/rank199_molecule_17/run/3_emscoring/emscoring_179.pdb
2,17,199,50,emscoring_14.pdb,emref_14.pdb,-326.462,haddock3_ternary/guided_ppil4_9DWV/rank199_molecule_17/run/3_emscoring/emscoring_14.pdb
2,17,199,51,emscoring_150.pdb,emref_150.pdb,-326.333,haddock3_ternary/guided_ppil4_9DWV/rank199_molecule_17/run/3_emscoring/emscoring_150.pdb
2,17,199,52,emscoring_93.pdb,emref_93.pdb,-326.276,haddock3_ternary/guided_ppil4_9DWV/rank199_molecule_17/run/3_emscoring/emscoring_93.pdb
2,17,199,53,emscoring_63.pdb,emref_63.pdb,-326.140,haddock3_ternary/guided_ppil4_9DWV/rank199_molecule_17/run/3_emscoring/emscoring_63.pdb
2,17,199,54,emscoring_11.pdb,emref_11.pdb,-326.095,haddock3_ternary/guided_ppil4_9DWV/rank199_molecule_17/run/3_emscoring/emscoring_11.pdb
2,17,199,55,emscoring_101.pdb,emref_101.pdb,-325.913,haddock3_ternary/guided_ppil4_9DWV/rank199_molecule_17/run/3_emscoring/emscoring_101.pdb
2,17,199,56,emscoring_48.pdb,emref_48.pdb,-325.569,haddock3_ternary/guided_ppil4_9DWV/rank199_molecule_17/run/3_emscoring/emscoring_48.pdb
2,17,199,57,emscoring_7.pdb,emref_7.pdb,-325.551,haddock3_ternary/guided_ppil4_9DWV/rank199_molecule_17/run/3_emscoring/emscoring_7.pdb
2,17,199,58,emscoring_114.pdb,emref_114.pdb,-325.550,haddock3_ternary/guided_ppil4_9DWV/rank199_molecule_17/run/3_emscoring/emscoring_114.pdb
2,17,199,59,emscoring_159.pdb,emref_159.pdb,-325.542,haddock3_ternary/guided_ppil4_9DWV/rank199_molecule_17/run/3_emscoring/emscoring_159.pdb
