haddock_rank,guided_selection_rank,vina_rank,molecule,canonical_smiles,rf_active_probability,vina_score_kcal_mol,pocket_centroid_distance_angstrom,ppil4_min_distance_angstrom,composite_pre_haddock_score,max_similarity_to_other_selected,models_scored,best_haddock_score,mean_best_10_haddock_score,sd_best_10_haddock_score,median_haddock_score,worst_haddock_score,batch_status,started_at,finished_at,elapsed_minutes,return_code,guided_config,run_directory,launcher_log
,1,46,63,Cc1c(Br)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.98,-9.542,1.049,2.4883273498476655,0.6431897960018003,0.7555555555555555,0,,,,,,failed,2026-07-25T22:11:16,2026-07-25T22:11:20,0.07,1,haddock3_ternary/guided_ppil4_9DWV/rank046_molecule_63/guided_ppil4_haddock.cfg,haddock3_ternary/guided_ppil4_9DWV/rank046_molecule_63/run,haddock3_ternary/guided_ppil4_9DWV/rank046_molecule_63/guided_haddock_launcher.log
6,2,199,17,O=C1CCC(N2C(=O)c3ccc(O)cc3C2=O)C(=O)N1,0.994,-8.901,0.923,2.1066791402584353,0.6866054122030075,0.7317073170731707,200,-338.674,-337.245,0.696,-321.787,-312.749,complete,2026-07-25T22:11:20,2026-07-25T22:36:37,25.28,0,haddock3_ternary/guided_ppil4_9DWV/rank199_molecule_17/guided_ppil4_haddock.cfg,haddock3_ternary/guided_ppil4_9DWV/rank199_molecule_17/run,haddock3_ternary/guided_ppil4_9DWV/rank199_molecule_17/guided_haddock_launcher.log
16,3,108,57,O=C1CCC(N2C(=O)c3ccc(O)c(I)c3C2=O)C(=O)N1,0.99,-9.311,1.263,2.357223154476465,0.6790471834852057,0.7555555555555555,200,-336.847,-334.938,1.018,-319.638,-310.227,complete,2026-07-25T22:36:37,2026-07-25T23:01:58,25.35,0,haddock3_ternary/guided_ppil4_9DWV/rank108_molecule_57/guided_ppil4_haddock.cfg,haddock3_ternary/guided_ppil4_9DWV/rank108_molecule_57/run,haddock3_ternary/guided_ppil4_9DWV/rank108_molecule_57/guided_haddock_launcher.log
,4,113,47,O=C1CCC(N2C(=O)c3ccc(O)c(Br)c3C2=O)C(=O)N1,0.99,-9.289,1.304,2.304741851054035,0.661477884832667,0.7555555555555555,0,,,,,,failed,2026-07-25T23:01:58,2026-07-25T23:02:01,0.05,1,haddock3_ternary/guided_ppil4_9DWV/rank113_molecule_47/guided_ppil4_haddock.cfg,haddock3_ternary/guided_ppil4_9DWV/rank113_molecule_47/run,haddock3_ternary/guided_ppil4_9DWV/rank113_molecule_47/guided_haddock_launcher.log
2,5,126,6,CCc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.982,-9.253,1.119,2.565077971524434,0.5918579563409909,0.7111111111111111,200,-357.535,-341.035,8.421,-321.583,-314.092,complete,2026-07-25T23:02:01,2026-07-25T23:27:38,25.62,0,haddock3_ternary/guided_ppil4_9DWV/rank126_molecule_6/guided_ppil4_haddock.cfg,haddock3_ternary/guided_ppil4_9DWV/rank126_molecule_6/run,haddock3_ternary/guided_ppil4_9DWV/rank126_molecule_6/guided_haddock_launcher.log
5,6,135,27,O=C1CCC(N2C(=O)c3ccc(O)c(F)c3C2=O)C(=O)N1,0.986,-9.208,1.11,2.517859805469712,0.6376313307845988,0.7555555555555555,200,-359.043,-337.327,7.730,-320.575,-310.828,complete,2026-07-25T23:27:38,2026-07-25T23:53:34,25.93,0,haddock3_ternary/guided_ppil4_9DWV/rank135_molecule_27/guided_ppil4_haddock.cfg,haddock3_ternary/guided_ppil4_9DWV/rank135_molecule_27/run,haddock3_ternary/guided_ppil4_9DWV/rank135_molecule_27/guided_haddock_launcher.log
9,7,115,118,COc1ccc2c(c1C#N)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.976,-9.288,0.943,2.536718549622713,0.5467915323549729,0.7254901960784313,200,-339.279,-336.480,2.065,-321.412,-312.211,complete,2026-07-25T23:53:34,2026-07-26T00:18:55,25.35,0,haddock3_ternary/guided_ppil4_9DWV/rank115_molecule_118/guided_ppil4_haddock.cfg,haddock3_ternary/guided_ppil4_9DWV/rank115_molecule_118/run,haddock3_ternary/guided_ppil4_9DWV/rank115_molecule_118/guided_haddock_launcher.log
3,8,98,7,O=C1CCC(N2C(=O)c3cccc(O)c3C2=O)C(=O)N1,0.988,-9.355,1.489,2.256656597712634,0.6076387350936061,0.7441860465116279,200,-359.505,-339.685,6.968,-321.380,-312.007,complete,2026-07-26T00:18:55,2026-07-26T00:44:13,25.30,0,haddock3_ternary/guided_ppil4_9DWV/rank098_molecule_7/guided_ppil4_haddock.cfg,haddock3_ternary/guided_ppil4_9DWV/rank098_molecule_7/run,haddock3_ternary/guided_ppil4_9DWV/rank098_molecule_7/guided_haddock_launcher.log
,9,80,44,O=C1CCC(N2C(=O)c3ccc(I)c(Br)c3C2=O)C(=O)N1,0.986,-9.404,1.31,2.197532707378874,0.6226180820224496,0.7555555555555555,0,,,,,,failed,2026-07-26T00:44:13,2026-07-26T00:44:16,0.05,1,haddock3_ternary/guided_ppil4_9DWV/rank080_molecule_44/guided_ppil4_haddock.cfg,haddock3_ternary/guided_ppil4_9DWV/rank080_molecule_44/run,haddock3_ternary/guided_ppil4_9DWV/rank080_molecule_44/guided_haddock_launcher.log
17,10,124,37,O=C1CCC(N2C(=O)c3ccc(O)c(Cl)c3C2=O)C(=O)N1,0.984,-9.262,1.118,2.5225950923602305,0.6205469121237276,0.7555555555555555,200,-337.817,-334.825,1.093,-323.714,-313.156,complete,2026-07-26T00:44:16,2026-07-26T01:09:36,25.33,0,haddock3_ternary/guided_ppil4_9DWV/rank124_molecule_37/guided_ppil4_haddock.cfg,haddock3_ternary/guided_ppil4_9DWV/rank124_molecule_37/run,haddock3_ternary/guided_ppil4_9DWV/rank124_molecule_37/guided_haddock_launcher.log
10,11,99,67,Cc1c(O)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.982,-9.355,1.113,2.5361078447100707,0.6163646551054508,0.7555555555555555,200,-338.892,-336.392,1.797,-323.991,-313.819,complete,2026-07-26T01:09:36,2026-07-26T01:34:54,25.30,0,haddock3_ternary/guided_ppil4_9DWV/rank099_molecule_67/guided_ppil4_haddock.cfg,haddock3_ternary/guided_ppil4_9DWV/rank099_molecule_67/run,haddock3_ternary/guided_ppil4_9DWV/rank099_molecule_67/guided_haddock_launcher.log
