haddock_rank,guided_selection_rank,vina_rank,molecule,canonical_smiles,rf_active_probability,vina_score_kcal_mol,pocket_centroid_distance_angstrom,ppil4_min_distance_angstrom,composite_pre_haddock_score,max_similarity_to_other_selected,models_scored,best_haddock_score,mean_best_10_haddock_score,sd_best_10_haddock_score,median_haddock_score,worst_haddock_score,batch_status,started_at,finished_at,elapsed_minutes,return_code,guided_config,run_directory,launcher_log
1,23,116,119,N#Cc1c(N)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.974,-9.288,1.167,2.3335093743115785,0.4577730619517498,0.7115384615384616,200,-359.491,-341.094,6.723,-324.986,-315.332,complete,2026-07-26T04:35:53,2026-07-26T05:01:47,25.90,0,haddock3_ternary/guided_ppil4_9DWV/rank116_molecule_119/guided_ppil4_haddock.cfg,haddock3_ternary/guided_ppil4_9DWV/rank116_molecule_119/run,haddock3_ternary/guided_ppil4_9DWV/rank116_molecule_119/guided_haddock_launcher.log
2,5,126,6,CCc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.982,-9.253,1.119,2.565077971524434,0.5918579563409909,0.7111111111111111,200,-357.535,-341.035,8.421,-321.583,-314.092,complete,2026-07-25T23:02:01,2026-07-25T23:27:38,25.62,0,haddock3_ternary/guided_ppil4_9DWV/rank126_molecule_6/guided_ppil4_haddock.cfg,haddock3_ternary/guided_ppil4_9DWV/rank126_molecule_6/run,haddock3_ternary/guided_ppil4_9DWV/rank126_molecule_6/guided_haddock_launcher.log
3,8,98,7,O=C1CCC(N2C(=O)c3cccc(O)c3C2=O)C(=O)N1,0.988,-9.355,1.489,2.256656597712634,0.6076387350936061,0.7441860465116279,200,-359.505,-339.685,6.968,-321.380,-312.007,complete,2026-07-26T00:18:55,2026-07-26T00:44:13,25.30,0,haddock3_ternary/guided_ppil4_9DWV/rank098_molecule_7/guided_ppil4_haddock.cfg,haddock3_ternary/guided_ppil4_9DWV/rank098_molecule_7/run,haddock3_ternary/guided_ppil4_9DWV/rank098_molecule_7/guided_haddock_launcher.log
4,21,79,171,CCc1cc(F)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.976,-9.406,1.189,2.1256787151401757,0.4966208522034721,0.7083333333333334,200,-356.861,-338.498,6.656,-322.981,-314.757,complete,2026-07-26T03:44:01,2026-07-26T04:09:54,25.88,0,haddock3_ternary/guided_ppil4_9DWV/rank079_molecule_171/guided_ppil4_haddock.cfg,haddock3_ternary/guided_ppil4_9DWV/rank079_molecule_171/run,haddock3_ternary/guided_ppil4_9DWV/rank079_molecule_171/guided_haddock_launcher.log
5,6,135,27,O=C1CCC(N2C(=O)c3ccc(O)c(F)c3C2=O)C(=O)N1,0.986,-9.208,1.11,2.517859805469712,0.6376313307845988,0.7555555555555555,200,-359.043,-337.327,7.730,-320.575,-310.828,complete,2026-07-25T23:27:38,2026-07-25T23:53:34,25.93,0,haddock3_ternary/guided_ppil4_9DWV/rank135_molecule_27/guided_ppil4_haddock.cfg,haddock3_ternary/guided_ppil4_9DWV/rank135_molecule_27/run,haddock3_ternary/guided_ppil4_9DWV/rank135_molecule_27/guided_haddock_launcher.log
6,2,199,17,O=C1CCC(N2C(=O)c3ccc(O)cc3C2=O)C(=O)N1,0.994,-8.901,0.923,2.1066791402584353,0.6866054122030075,0.7317073170731707,200,-338.674,-337.245,0.696,-321.787,-312.749,complete,2026-07-25T22:11:20,2026-07-25T22:36:37,25.28,0,haddock3_ternary/guided_ppil4_9DWV/rank199_molecule_17/guided_ppil4_haddock.cfg,haddock3_ternary/guided_ppil4_9DWV/rank199_molecule_17/run,haddock3_ternary/guided_ppil4_9DWV/rank199_molecule_17/guided_haddock_launcher.log
7,15,143,14,O=C1CCC(N2C(=O)c3ccc(I)cc3C2=O)C(=O)N1,0.986,-9.179,1.426,2.2858409830957007,0.5497740744010022,0.7317073170731707,200,-339.911,-337.066,1.515,-321.496,-312.249,complete,2026-07-26T02:25:54,2026-07-26T02:52:06,26.20,0,haddock3_ternary/guided_ppil4_9DWV/rank143_molecule_14/guided_ppil4_haddock.cfg,haddock3_ternary/guided_ppil4_9DWV/rank143_molecule_14/run,haddock3_ternary/guided_ppil4_9DWV/rank143_molecule_14/guided_haddock_launcher.log
8,18,248,337,O=C1CCC(N2C(=O)c3cc(O)c(F)c(F)c3C2=O)C(=O)N1,0.986,-8.331,0.705,2.898005003446328,0.5259353468653326,0.8043478260869565,200,-339.834,-336.540,2.150,-320.990,-312.273,complete,2026-07-26T03:18:05,2026-07-26T03:43:54,25.82,0,haddock3_ternary/guided_ppil4_9DWV/rank248_molecule_337/guided_ppil4_haddock.cfg,haddock3_ternary/guided_ppil4_9DWV/rank248_molecule_337/run,haddock3_ternary/guided_ppil4_9DWV/rank248_molecule_337/guided_haddock_launcher.log
9,7,115,118,COc1ccc2c(c1C#N)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.976,-9.288,0.943,2.536718549622713,0.5467915323549729,0.7254901960784313,200,-339.279,-336.480,2.065,-321.412,-312.211,complete,2026-07-25T23:53:34,2026-07-26T00:18:55,25.35,0,haddock3_ternary/guided_ppil4_9DWV/rank115_molecule_118/guided_ppil4_haddock.cfg,haddock3_ternary/guided_ppil4_9DWV/rank115_molecule_118/run,haddock3_ternary/guided_ppil4_9DWV/rank115_molecule_118/guided_haddock_launcher.log
10,11,99,67,Cc1c(O)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.982,-9.355,1.113,2.5361078447100707,0.6163646551054508,0.7555555555555555,200,-338.892,-336.392,1.797,-323.991,-313.819,complete,2026-07-26T01:09:36,2026-07-26T01:34:54,25.30,0,haddock3_ternary/guided_ppil4_9DWV/rank099_molecule_67/guided_ppil4_haddock.cfg,haddock3_ternary/guided_ppil4_9DWV/rank099_molecule_67/run,haddock3_ternary/guided_ppil4_9DWV/rank099_molecule_67/guided_haddock_launcher.log
