vina_rank,molecule,canonical_smiles,rf_active_probability,vina_score_kcal_mol,pocket_centroid_distance_angstrom,ppil4_min_distance_angstrom,geometry_status,guided_config,rf_component,vina_component,pocket_component,ppil4_geometry_component,composite_pre_haddock_score,guided_selection_rank,max_similarity_to_other_selected
46,63,Cc1c(Br)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.98,-9.542,1.049,2.4883273498476655,eligible,haddock3_ternary/guided_ppil4_9DWV/rank046_molecule_63/guided_ppil4_haddock.cfg,0.4166666666666667,1.0,0.44624746450304276,0.7207131317857227,0.6431897960018003,1,0.7555555555555555
199,17,O=C1CCC(N2C(=O)c3ccc(O)cc3C2=O)C(=O)N1,0.994,-8.901,0.923,2.1066791402584353,eligible,haddock3_ternary/guided_ppil4_9DWV/rank199_molecule_17/guided_ppil4_haddock.cfg,1.0,0.4706853839801818,0.5740365111561866,0.5372832985181046,0.6866054122030075,2,0.7317073170731707
108,57,O=C1CCC(N2C(=O)c3ccc(O)c(I)c3C2=O)C(=O)N1,0.99,-9.311,1.263,2.357223154476465,eligible,haddock3_ternary/guided_ppil4_9DWV/rank108_molecule_57/guided_ppil4_haddock.cfg,0.8333333333333334,0.809248554913295,0.22920892494929024,0.6584277690312833,0.6790471834852057,3,0.7555555555555555
113,47,O=C1CCC(N2C(=O)c3ccc(O)c(Br)c3C2=O)C(=O)N1,0.99,-9.289,1.304,2.304741851054035,eligible,haddock3_ternary/guided_ppil4_9DWV/rank113_molecule_47/guided_ppil4_haddock.cfg,0.8333333333333334,0.7910817506193228,0.18762677484787027,0.6330755867375301,0.661477884832667,4,0.7555555555555555
126,6,CCc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.982,-9.253,1.119,2.565077971524434,eligible,haddock3_ternary/guided_ppil4_9DWV/rank126_molecule_6/guided_ppil4_haddock.cfg,0.5,0.7613542526837327,0.37525354969574043,0.7560064706448202,0.5918579563409909,5,0.7111111111111111
135,27,O=C1CCC(N2C(=O)c3ccc(O)c(F)c3C2=O)C(=O)N1,0.986,-9.208,1.11,2.517859805469712,eligible,haddock3_ternary/guided_ppil4_9DWV/rank135_molecule_27/guided_ppil4_haddock.cfg,0.6666666666666666,0.7241948802642448,0.38438133874239344,0.7344217708234217,0.6376313307845988,6,0.7555555555555555
115,118,COc1ccc2c(c1C#N)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.976,-9.288,0.943,2.536718549622713,eligible,haddock3_ternary/guided_ppil4_9DWV/rank115_molecule_118/guided_ppil4_haddock.cfg,0.25,0.7902559867877791,0.5537525354969575,0.7430948614616512,0.5467915323549729,7,0.7254901960784313
98,7,O=C1CCC(N2C(=O)c3cccc(O)c3C2=O)C(=O)N1,0.988,-9.355,1.489,2.256656597712634,eligible,haddock3_ternary/guided_ppil4_9DWV/rank098_molecule_7/guided_ppil4_haddock.cfg,0.75,0.8455821635012392,0.0,0.6097605736215628,0.6076387350936061,8,0.7441860465116279
80,44,O=C1CCC(N2C(=O)c3ccc(I)c(Br)c3C2=O)C(=O)N1,0.986,-9.404,1.31,2.197532707378874,eligible,haddock3_ternary/guided_ppil4_9DWV/rank080_molecule_44/guided_ppil4_haddock.cfg,0.6666666666666666,0.8860445912469035,0.1815415821501014,0.5810870325668331,0.6226180820224496,9,0.7555555555555555
124,37,O=C1CCC(N2C(=O)c3ccc(O)c(Cl)c3C2=O)C(=O)N1,0.984,-9.262,1.118,2.5225950923602305,eligible,haddock3_ternary/guided_ppil4_9DWV/rank124_molecule_37/guided_ppil4_haddock.cfg,0.5833333333333334,0.7687861271676306,0.3762677484787018,0.7366057174068756,0.6205469121237276,10,0.7555555555555555
99,67,Cc1c(O)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.982,-9.355,1.113,2.5361078447100707,eligible,haddock3_ternary/guided_ppil4_9DWV/rank099_molecule_67/guided_ppil4_haddock.cfg,0.5,0.8455821635012392,0.3813387423935092,0.7428150505091817,0.6163646551054508,11,0.7555555555555555
69,181,O=C1CCC(N2C(=O)c3cc(F)cc(O)c3C2=O)C(=O)N1,0.982,-9.449,1.359,2.253755310587191,eligible,haddock3_ternary/guided_ppil4_9DWV/rank069_molecule_181/guided_ppil4_haddock.cfg,0.5,0.9232039636663915,0.13184584178498993,0.6083528230328231,0.5695832809118389,12,0.7391304347826086
128,3,O=C1CCC(N2C(=O)c3cccc(Br)c3C2=O)C(=O)N1,0.984,-9.246,1.359,2.6816004549522274,eligible,haddock3_ternary/guided_ppil4_9DWV/rank128_molecule_3/guided_ppil4_haddock.cfg,0.5833333333333334,0.7555739058629238,0.13184584178498993,0.8070828910695701,0.5782704404429773,13,0.7441860465116279
59,64,Cc1c(I)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.98,-9.478,1.26,2.2837368499894883,eligible,haddock3_ternary/guided_ppil4_9DWV/rank059_molecule_64/guided_ppil4_haddock.cfg,0.4166666666666667,0.9471511147811725,0.2322515212981745,0.6228966056393563,0.5698634628732235,14,0.7555555555555555
143,14,O=C1CCC(N2C(=O)c3ccc(I)cc3C2=O)C(=O)N1,0.986,-9.179,1.426,2.2858409830957007,eligible,haddock3_ternary/guided_ppil4_9DWV/rank143_molecule_14/guided_ppil4_haddock.cfg,0.6666666666666666,0.7002477291494638,0.0638945233265722,0.6239167843834358,0.5497740744010022,15,0.7317073170731707
74,33,O=C1CCC(N2C(=O)c3ccc(Br)c(Cl)c3C2=O)C(=O)N1,0.98,-9.435,1.294,2.273636074661012,eligible,haddock3_ternary/guided_ppil4_9DWV/rank074_molecule_33/guided_ppil4_haddock.cfg,0.4166666666666667,0.9116432700247735,0.19776876267748478,0.6179980896198054,0.5515797803192332,16,0.7555555555555555
178,186,CCc1cc(O)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.98,-9.029,1.078,2.440443812096462,eligible,haddock3_ternary/guided_ppil4_9DWV/rank178_molecule_186/guided_ppil4_haddock.cfg,0.4166666666666667,0.5763831544178366,0.4168356997971603,0.6981990947195671,0.5068452838260515,17,0.6938775510204082
248,337,O=C1CCC(N2C(=O)c3cc(O)c(F)c(F)c3C2=O)C(=O)N1,0.986,-8.331,0.705,2.898005003446328,eligible,haddock3_ternary/guided_ppil4_9DWV/rank248_molecule_337/guided_ppil4_haddock.cfg,0.6666666666666666,0.0,0.7951318458417851,0.8905042957576151,0.5259353468653326,18,0.8043478260869565
70,45,Cc1ccc2c(c1Br)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.978,-9.448,1.289,2.3181257515501614,eligible,haddock3_ternary/guided_ppil4_9DWV/rank070_molecule_45/guided_ppil4_haddock.cfg,0.3333333333333333,0.9223781998348477,0.20283975659229225,0.6395537851297385,0.5298811457050402,19,0.7555555555555555
226,1323,N#Cc1c(Br)cc2c(c1C#N)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.984,-8.586,1.025,2.4130953151502257,eligible,haddock3_ternary/guided_ppil4_9DWV/rank226_molecule_1323/guided_ppil4_haddock.cfg,0.5833333333333334,0.21056977704376612,0.47058823529411775,0.6852059876249066,0.46423614498235605,20,0.7346938775510204
79,171,CCc1cc(F)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.976,-9.406,1.189,2.1256787151401757,eligible,haddock3_ternary/guided_ppil4_9DWV/rank079_molecule_171/guided_ppil4_haddock.cfg,0.25,0.8876961189099924,0.3042596348884381,0.5464005970185785,0.4966208522034721,21,0.7083333333333334
95,34,O=C1CCC(N2C(=O)c3ccc(I)c(Cl)c3C2=O)C(=O)N1,0.978,-9.369,1.328,2.1942256037153434,eligible,haddock3_ternary/guided_ppil4_9DWV/rank095_molecule_34/guided_ppil4_haddock.cfg,0.3333333333333333,0.8571428571428572,0.16328600405679516,0.5794853090062904,0.4933895209718264,22,0.7555555555555555
116,119,N#Cc1c(N)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.974,-9.288,1.167,2.3335093743115785,eligible,haddock3_ternary/guided_ppil4_9DWV/rank116_molecule_119/guided_ppil4_haddock.cfg,0.16666666666666666,0.7902559867877791,0.32657200811359033,0.6469902063957648,0.4577730619517498,23,0.7115384615384616
233,150,N#Cc1cc(Br)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.984,-8.428,0.763,2.2143326308393747,eligible,haddock3_ternary/guided_ppil4_9DWV/rank233_molecule_150/guided_ppil4_haddock.cfg,0.5833333333333334,0.08009909165978635,0.7363083164300204,0.5892286402196527,0.46384235348355457,24,0.7346938775510204
