vina_rank,molecule,canonical_smiles,vina_score_kcal_mol,best_haddock_score,best_model,models_scored,status
206,856,CCc1cc2c(c(CC)c1Br)C(=O)N(C1CCC(=O)NC1=O)C2=O,-8.844,-121.276,emscoring_17.pdb,20,completed
163,596,CCc1cc2c(c(Br)c1O)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.105,-120.383,emscoring_1.pdb,20,completed
203,387,CCc1c(O)cc2c(c1F)C(=O)N(C1CCC(=O)NC1=O)C2=O,-8.865,-120.231,emscoring_1.pdb,20,completed
193,956,CCc1cc2c(c(O)c1Br)C(=O)N(C1CCC(=O)NC1=O)C2=O,-8.92,-119.744,emscoring_1.pdb,20,completed
160,875,CCc1c(C)c(C)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.115,-118.548,emscoring_15.pdb,20,completed
170,38,COc1ccc2c(c1Cl)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.074,-116.895,emscoring_19.pdb,20,completed
23,1267,N#Cc1c(I)c(O)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.634,-115.498,emscoring_15.pdb,20,completed
215,317,CCc1cc2c(cc1O)C(=O)N(C1CCC(=O)NC1=O)C2=O,-8.742,-115.001,emscoring_11.pdb,20,completed
218,866,CCc1cc2c(c(CC)c1I)C(=O)N(C1CCC(=O)NC1=O)C2=O,-8.709,-114.449,emscoring_15.pdb,20,completed
111,477,Cc1c(O)cc2c(c1Cl)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.295,-113.052,emscoring_13.pdb,20,completed
169,583,CCc1c(Br)cc2c(c1Br)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.074,-112.207,emscoring_10.pdb,20,completed
187,936,CCc1cc2c(c(O)c1F)C(=O)N(C1CCC(=O)NC1=O)C2=O,-8.948,-112.061,emscoring_1.pdb,20,completed
207,983,CCc1c(Br)cc2c(c1O)C(=O)N(C1CCC(=O)NC1=O)C2=O,-8.83,-111.868,emscoring_10.pdb,20,completed
31,475,Cc1cc2c(c(Cl)c1C)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.6,-110.609,emscoring_7.pdb,20,completed
220,176,CCc1cc(CC)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,-8.654,-110.506,emscoring_16.pdb,20,completed
118,860,CCc1c(Br)c(C#N)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.283,-108.774,emscoring_11.pdb,20,completed
25,754,Cc1c(Br)c(I)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.626,-108.593,emscoring_16.pdb,20,completed
133,366,CCc1cc2c(c(F)c1I)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.213,-108.111,emscoring_10.pdb,20,completed
173,496,CCc1cc2c(c(Cl)c1O)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.055,-107.993,emscoring_4.pdb,20,completed
7,735,Cc1cc2c(c(C)c1F)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.775,-107.950,emscoring_10.pdb,20,completed
175,305,CCc1cc2c(cc1I)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.039,-107.906,emscoring_16.pdb,20,completed
180,71,CCc1c(F)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.02,-106.867,emscoring_10.pdb,20,completed
87,167,Cc1cc(O)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.386,-105.967,emscoring_10.pdb,20,completed
248,337,O=C1CCC(N2C(=O)c3cc(O)c(F)c(F)c3C2=O)C(=O)N1,-8.331,-105.446,emscoring_11.pdb,20,completed
226,1323,N#Cc1c(Br)cc2c(c1C#N)C(=O)N(C1CCC(=O)NC1=O)C2=O,-8.586,-105.300,emscoring_2.pdb,20,completed
122,666,CCc1cc2c(c(I)c1I)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.273,-105.255,emscoring_10.pdb,20,completed
1,830,Cc1c(C#N)c(C#N)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.883,-105.118,emscoring_18.pdb,20,completed
237,1330,N#Cc1cc2c(c(C#N)c1C#N)C(=O)N(C1CCC(=O)NC1=O)C2=O,-8.408,-104.979,emscoring_17.pdb,20,completed
167,8,COc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.084,-104.936,emscoring_14.pdb,20,completed
241,773,Cc1c(Br)cc2c(c1C)C(=O)N(C1CCC(=O)NC1=O)C2=O,-8.365,-104.793,emscoring_10.pdb,20,completed
183,681,CCc1c(F)cc2c(c1I)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.001,-104.665,emscoring_10.pdb,20,completed
159,146,CCc1cc(Br)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.116,-104.598,emscoring_10.pdb,20,completed
135,27,O=C1CCC(N2C(=O)c3ccc(O)c(F)c3C2=O)C(=O)N1,-9.208,-104.585,emscoring_4.pdb,20,completed
225,1253,N#Cc1c(Br)c(Br)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,-8.614,-104.410,emscoring_9.pdb,20,completed
120,495,Cc1cc2c(c(Cl)c1O)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.281,-104.365,emscoring_14.pdb,20,completed
155,178,CCc1cc(OC)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.128,-103.379,emscoring_9.pdb,20,completed
13,775,Cc1cc2c(c(C)c1C)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.72,-103.346,emscoring_18.pdb,20,completed
171,878,CCc1c(C)c(OC)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.067,-103.077,emscoring_18.pdb,20,completed
17,1300,N#Cc1cc2c(c(C#N)c1O)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.667,-103.053,emscoring_18.pdb,20,completed
96,153,O=C1CCC(N2C(=O)c3cc(Br)cc(I)c3C2=O)C(=O)N1,-9.362,-102.980,emscoring_9.pdb,20,completed
12,114,N#Cc1c(I)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.726,-102.356,emscoring_9.pdb,20,completed
68,180,CCc1cc(C#N)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.452,-102.022,emscoring_4.pdb,20,completed
219,1263,N#Cc1c(I)c(Br)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,-8.656,-100.954,emscoring_9.pdb,20,completed
27,575,Cc1cc2c(c(Br)c1C)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.622,-100.888,emscoring_10.pdb,20,completed
223,1264,N#Cc1c(I)c(I)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,-8.627,-100.773,emscoring_9.pdb,20,completed
145,378,COc1cc2c(c(F)c1C)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.176,-100.611,emscoring_12.pdb,20,completed
146,870,CCc1c(I)c(C#N)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.175,-100.241,emscoring_12.pdb,20,completed
231,340,N#Cc1cc2c(c(F)c1F)C(=O)N(C1CCC(=O)NC1=O)C2=O,-8.451,-100.040,emscoring_16.pdb,20,completed
32,343,O=C1CCC(N2C(=O)c3cc(Br)c(Cl)c(F)c3C2=O)C(=O)N1,-9.599,-99.780,emscoring_3.pdb,20,completed
131,466,CCc1cc2c(c(Cl)c1I)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.222,-99.754,emscoring_10.pdb,20,completed
85,143,O=C1CCC(N2C(=O)c3cc(Br)cc(Br)c3C2=O)C(=O)N1,-9.392,-99.623,emscoring_9.pdb,20,completed
221,220,N#Cc1cc(C#N)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,-8.653,-99.317,emscoring_15.pdb,20,completed
150,696,CCc1cc2c(c(I)c1O)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.16,-99.116,emscoring_2.pdb,20,completed
74,33,O=C1CCC(N2C(=O)c3ccc(Br)c(Cl)c3C2=O)C(=O)N1,-9.435,-99.084,emscoring_17.pdb,20,completed
227,20,N#Cc1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,-8.546,-99.026,emscoring_9.pdb,20,completed
132,965,Cc1cc2c(c(O)c1I)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.219,-98.842,emscoring_5.pdb,20,completed
222,1254,N#Cc1c(Br)c(I)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,-8.634,-98.823,emscoring_9.pdb,20,completed
151,177,CCc1cc(O)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.148,-98.506,emscoring_16.pdb,20,completed
16,755,Cc1cc2c(c(C)c1Br)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.676,-98.365,emscoring_6.pdb,20,completed
130,990,CCc1c(C#N)cc2c(c1O)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.235,-98.201,emscoring_7.pdb,20,completed
30,1327,N#Cc1c(O)cc2c(c1C#N)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.604,-98.153,emscoring_1.pdb,20,completed
244,1275,Cc1cc2c(c(C#N)c1C)C(=O)N(C1CCC(=O)NC1=O)C2=O,-8.356,-98.002,emscoring_16.pdb,20,completed
224,400,N#Cc1cc2c(c(F)c1O)C(=O)N(C1CCC(=O)NC1=O)C2=O,-8.626,-97.536,emscoring_18.pdb,20,completed
41,335,Cc1cc2c(c(F)c1F)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.572,-97.482,emscoring_16.pdb,20,completed
50,354,O=C1CCC(N2C(=O)c3cc(I)c(Br)c(F)c3C2=O)C(=O)N1,-9.527,-97.089,emscoring_15.pdb,20,completed
112,578,COc1cc2c(c(Br)c1C)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.291,-97.030,emscoring_12.pdb,20,completed
45,364,O=C1CCC(N2C(=O)c3cc(I)c(I)c(F)c3C2=O)C(=O)N1,-9.547,-96.911,emscoring_16.pdb,20,completed
236,1295,Cc1cc2c(c(C#N)c1O)C(=O)N(C1CCC(=O)NC1=O)C2=O,-8.41,-96.757,emscoring_17.pdb,20,completed
86,677,Cc1c(O)cc2c(c1I)C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.388,-96.415,emscoring_17.pdb,20,completed
164,73,CCc1c(Br)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.101,-95.994,emscoring_17.pdb,20,completed
166,74,CCc1c(I)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.091,-95.574,emscoring_16.pdb,20,completed
15,1257,N#Cc1c(Br)c(O)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,-9.689,-95.319,emscoring_17.pdb,20,completed
51,443,O=C1CCC(N2C(=O)c3cc(Br)c(Cl)c(Cl)c3C2=O)C(=O)N1,-9.522,-95.119,emscoring_12.pdb,20,completed
