name,role,molecular_formula,smiles,molecular_weight,cas_number,registered,purity_grade,quality_requirements,inchikey,chemical_name,pubchem_cid
RW_708,candidate,C24H21N5O4,N#Cc1ccc2c(c1-c1ccc(N3CCNCC3)cc1)C(=O)N(C1CCC(=O)NC1=O)C2=O,443.46,-,no,>=98% (HPLC),无菌; 无内毒素; 无核酸酶; 优先细胞培养级别 (sterile; endotoxin-free; nuclease-free; cell-culture grade preferred),HIEJYMRMWAEODO-UHFFFAOYSA-N,,
RW_491,candidate,C24H24N4O5,COc1ccc(-c2ccc(N3CCNCC3)cc2)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,448.48,-,no,>=98% (HPLC),无菌; 无内毒素; 无核酸酶; 优先细胞培养级别 (sterile; endotoxin-free; nuclease-free; cell-culture grade preferred),KVGYOODUQYZQIN-UHFFFAOYSA-N,,
RW_1987,candidate,C25H29N5O3,CN(C)c1cc2c(c(-c3ccc(N4CCNCC4)cc3)c1)C(=O)N(C1CCC(=O)NC1=O)C2,447.54,-,no,>=98% (HPLC),无菌; 无内毒素; 无核酸酶; 优先细胞培养级别 (sterile; endotoxin-free; nuclease-free; cell-culture grade preferred),HEUQFHHFAMNVQC-UHFFFAOYSA-N,,
RW_1959,candidate,C23H24N4O4,O=C1CCC(N2Cc3cc(O)cc(-c4ccc(N5CCNCC5)cc4)c3C2=O)C(=O)N1,420.47,-,no,>=98% (HPLC),无菌; 无内毒素; 无核酸酶; 优先细胞培养级别 (sterile; endotoxin-free; nuclease-free; cell-culture grade preferred),QWVWMIZYOCCSAD-UHFFFAOYSA-N,,
RW_465,candidate,C23H23BrN4O3,O=C1CCC(N2Cc3cc(Br)cc(-c4ccc(N5CCNCC5)cc4)c3C2=O)C(=O)N1,483.37,-,no,>=98% (HPLC),无菌; 无内毒素; 无核酸酶; 优先细胞培养级别 (sterile; endotoxin-free; nuclease-free; cell-culture grade preferred),NGHRLUITSVTZOV-UHFFFAOYSA-N,,
RW_1992,candidate,C24H23F3N4O3,O=C1CCC(N2Cc3c(cc(C(F)(F)F)cc3-c3ccc(N4CCNCC4)cc3)C2=O)C(=O)N1,472.47,-,no,>=98% (HPLC),无菌; 无内毒素; 无核酸酶; 优先细胞培养级别 (sterile; endotoxin-free; nuclease-free; cell-culture grade preferred),SSGOKPSHDJJEMM-UHFFFAOYSA-N,,
RW_2392,candidate,C24H24N4O5,O=C1CCC(N2Cc3c(ccc(C(=O)O)c3-c3ccc(N4CCNCC4)cc3)C2=O)C(=O)N1,448.48,-,no,>=98% (HPLC),无菌; 无内毒素; 无核酸酶; 优先细胞培养级别 (sterile; endotoxin-free; nuclease-free; cell-culture grade preferred),ZKYWUJUXWXWCRB-UHFFFAOYSA-N,,
RW_234,candidate,C24H23N5O3,N#Cc1ccc2c(c1-c1ccc(N3CCNCC3)cc1)CN(C1CCC(=O)NC1=O)C2=O,429.48,-,no,>=98% (HPLC),无菌; 无内毒素; 无核酸酶; 优先细胞培养级别 (sterile; endotoxin-free; nuclease-free; cell-culture grade preferred),ZFSCZHKDHPXXNA-UHFFFAOYSA-N,,
RW_2123,candidate,C24H27N5O3,CNc1ccc(-c2ccc(N3CCNCC3)cc2)c2c1C(=O)N(C1CCC(=O)NC1=O)C2,433.51,-,no,>=98% (HPLC),无菌; 无内毒素; 无核酸酶; 优先细胞培养级别 (sterile; endotoxin-free; nuclease-free; cell-culture grade preferred),IBGAEEZLPYXDPJ-UHFFFAOYSA-N,,
RW_1668,candidate,C24H27N5O3,CNc1cc2c(c(-c3ccc(N4CCNCC4)cc3)c1)C(=O)N(C1CCC(=O)NC1=O)C2,433.51,-,no,>=98% (HPLC),无菌; 无内毒素; 无核酸酶; 优先细胞培养级别 (sterile; endotoxin-free; nuclease-free; cell-culture grade preferred),FZLNLZAMAXQVHW-UHFFFAOYSA-N,,
