编号 Code,分子式 Molecular Formula,结构式 Structure (SMILES),分子量 MW,CAS号 CAS No.,纯度级别 Purity
RW_708,C24H21N5O4,N#Cc1ccc2c(c1-c1ccc(N3CCNCC3)cc1)C(=O)N(C1CCC(=O)NC1=O)C2=O,443.46,-,>=95% (HPLC)
RW_491,C24H24N4O5,COc1ccc(-c2ccc(N3CCNCC3)cc2)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,448.48,-,>=95% (HPLC)
RW_1987,C25H29N5O3,CN(C)c1cc2c(c(-c3ccc(N4CCNCC4)cc3)c1)C(=O)N(C1CCC(=O)NC1=O)C2,447.54,-,>=95% (HPLC)
RW_1959,C23H24N4O4,O=C1CCC(N2Cc3cc(O)cc(-c4ccc(N5CCNCC5)cc4)c3C2=O)C(=O)N1,420.47,-,>=95% (HPLC)
RW_465,C23H23BrN4O3,O=C1CCC(N2Cc3cc(Br)cc(-c4ccc(N5CCNCC5)cc4)c3C2=O)C(=O)N1,483.37,-,>=95% (HPLC)
RW_1992,C24H23F3N4O3,O=C1CCC(N2Cc3c(cc(C(F)(F)F)cc3-c3ccc(N4CCNCC4)cc3)C2=O)C(=O)N1,472.47,-,>=95% (HPLC)
RW_2392,C24H24N4O5,O=C1CCC(N2Cc3c(ccc(C(=O)O)c3-c3ccc(N4CCNCC4)cc3)C2=O)C(=O)N1,448.48,-,>=95% (HPLC)
RW_234,C24H23N5O3,N#Cc1ccc2c(c1-c1ccc(N3CCNCC3)cc1)CN(C1CCC(=O)NC1=O)C2=O,429.48,-,>=95% (HPLC)
RW_2123,C24H27N5O3,CNc1ccc(-c2ccc(N3CCNCC3)cc2)c2c1C(=O)N(C1CCC(=O)NC1=O)C2,433.51,-,>=95% (HPLC)
RW_1668,C24H27N5O3,CNc1cc2c(c(-c3ccc(N4CCNCC4)cc3)c1)C(=O)N(C1CCC(=O)NC1=O)C2,433.51,-,>=95% (HPLC)
RW_445,C23H21ClN4O4,O=C1CCC(N2C(=O)c3cc(Cl)cc(-c4ccc(N5CCNCC5)cc4)c3C2=O)C(=O)N1,452.9,-,>=95% (HPLC)
RW_779,C23H21BrN4O4,O=C1CCC(N2C(=O)c3cc(Br)cc(-c4ccc(N5CCNCC5)cc4)c3C2=O)C(=O)N1,497.35,-,>=95% (HPLC)
RW_381,C23H23ClN4O3,O=C1CCC(N2Cc3c(Cl)ccc(-c4ccc(N5CCNCC5)cc4)c3C2=O)C(=O)N1,438.92,-,>=95% (HPLC)
RW_1092,C23H23ClN4O3,O=C1CCC(N2Cc3cc(Cl)cc(-c4ccc(N5CCNCC5)cc4)c3C2=O)C(=O)N1,438.92,-,>=95% (HPLC)
RW_1078,C23H21FN4O4,O=C1CCC(N2C(=O)c3cc(F)cc(-c4ccc(N5CCNCC5)cc4)c3C2=O)C(=O)N1,436.44,-,>=95% (HPLC)
RW_80,C23H21FN4O4,O=C1CCC(N2C(=O)c3cc(F)c(-c4ccc(N5CCNCC5)cc4)cc3C2=O)C(=O)N1,436.44,-,>=95% (HPLC)
RW_72,C23H24N4O3,O=C1CCC(N2Cc3cccc(-c4ccc(N5CCNCC5)cc4)c3C2=O)C(=O)N1,404.47,-,>=95% (HPLC)
RW_672,C24H26N4O3,Cc1cc2c(cc1-c1ccc(N3CCNCC3)cc1)C(=O)N(C1CCC(=O)NC1=O)C2,418.5,-,>=95% (HPLC)
TZ_6,C15H14N2O4,CCc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,286.29,244057-33-8,>=95% (HPLC)
TZ_118,C15H11N3O5,COc1ccc2c(c1C#N)C(=O)N(C1CCC(=O)NC1=O)C2=O,313.27,-,>=95% (HPLC)
Z6466608628_positive_control,C23H24N4O3,O=C1CCC(N2Cc3c(cccc3-c3ccc(N4CCNCC4)cc3)C2=O)C(=O)N1,404.47,2869183-63-9,>=98% (HPLC)
TM-04-064-02_positive_control,C29H35N9O5,O=C(NCCCCCCCCNC1=CC=CC2=C1C(N(C2=O)C3CCC(NC3=O)=O)=O)CCN4C=NC5=C(N=CN=C54)N,589.66,-,>=98% (HPLC)
negctrl_no_glutarimide,C19H21N3O,CN1Cc2c(cccc2-c2ccc(N3CCNCC3)cc2)C1=O,307.4,-,>=98% (HPLC)
negctrl_no_ppil4_arm,C13H12N2O3,O=C1CCC(N2Cc3ccccc3C2=O)C(=O)N1,244.25,26581-81-7,>=98% (HPLC)
negctrl_no_crbn_ppil4_arm,C7H7N3OS,COc1cscc1-c1c[nH]nn1,181.22,-,>=98% (HPLC)
