table_rank,row_type,locked_candidate_rank,molecule,control_id,mean_best_10,best_haddock,sd_best_10,dockq_vs_9dwv,cluster_id,n_models,protocol_version,status
1,positive_control,,FPFT-2216,positive_control_FPFT-2216,-115.719300,-125.639000,5.254228,0.042000,5,172,ppil4-lock-v3-45ee93aea3ab,complete
2,negative_control,,negative_control_1,negative_control_1,-108.603700,-112.526000,1.863682,0.178,5,159,ppil4-lock-v3-45ee93aea3ab,complete
3,negative_control,,FPFT-2216_no_glutarimide,negative_control_2,,,,,,,ppil4-lock-v3-45ee93aea3ab,prepared
4,negative_control,,negative_control_3,negative_control_3,,,,,,,ppil4-lock-v3-45ee93aea3ab,prepared
5,candidate,1,1323,,-108.573000,-116.037000,3.684338,0.168000,1,172,ppil4-lock-v3-45ee93aea3ab,complete
6,candidate,2,44,,-114.514200,-127.793000,7.269737,0.083000,5,166,ppil4-lock-v3-45ee93aea3ab,complete
7,candidate,3,118,,-119.781100,-127.296000,4.090056,0.424000,5,173,ppil4-lock-v3-45ee93aea3ab,complete
8,candidate,4,33,,-108.314300,-125.491000,8.414880,0.228000,6,175,ppil4-lock-v3-45ee93aea3ab,complete
9,candidate,5,150,,-111.045600,-126.033000,6.237439,0.041000,7,161,ppil4-lock-v3-45ee93aea3ab,complete
10,candidate,6,34,,-113.186300,-123.780000,4.747860,0.536000,6,177,ppil4-lock-v3-45ee93aea3ab,complete
11,candidate,7,67,,-110.138800,-117.670000,3.521354,0.105000,1,162,ppil4-lock-v3-45ee93aea3ab,complete
12,candidate,8,37,,-109.787100,-129.011000,6.841206,0.041000,7,177,ppil4-lock-v3-45ee93aea3ab,complete
13,candidate,9,58,,-108.630400,-120.920000,6.786721,0.044000,3,170,ppil4-lock-v3-45ee93aea3ab,complete
14,candidate,10,171,,-115.409200,-125.149000,5.340586,0.062000,4,180,ppil4-lock-v3-45ee93aea3ab,complete
15,candidate,11,773,,-103.048100,-109.223000,3.997321,0.062000,8,171,ppil4-lock-v3-45ee93aea3ab,complete
16,candidate,12,64,,-114.452200,-125.697000,4.684611,0.041000,6,173,ppil4-lock-v3-45ee93aea3ab,complete
17,candidate,13,163,,-105.972500,-112.432000,3.274738,0.196000,1,165,ppil4-lock-v3-45ee93aea3ab,complete
18,candidate,14,47,,-108.124600,-122.301000,5.623692,0.041000,7,177,ppil4-lock-v3-45ee93aea3ab,complete
19,candidate,15,45,,-119.044900,-138.060000,8.607624,0.044000,4,173,ppil4-lock-v3-45ee93aea3ab,complete
20,candidate,16,3,,-108.535600,-124.648000,6.031678,0.040000,3,184,ppil4-lock-v3-45ee93aea3ab,complete
21,candidate,17,17,,-113.197100,-121.413000,5.006915,0.182000,1,178,ppil4-lock-v3-45ee93aea3ab,complete
22,candidate,18,181,,-106.270700,-117.492000,6.417061,0.128000,1,176,ppil4-lock-v3-45ee93aea3ab,complete
23,candidate,19,337,,-103.481600,-118.603000,7.065342,0.041000,6,174,ppil4-lock-v3-45ee93aea3ab,complete
24,candidate,20,537,,-102.636500,-107.543000,2.289743,0.484000,6,168,ppil4-lock-v3-45ee93aea3ab,complete
25,candidate,21,6,,-116.266600,-123.839000,3.920940,0.234000,1,179,ppil4-lock-v3-45ee93aea3ab,complete
26,candidate,22,57,,-107.892600,-116.620000,4.166139,0.063000,4,174,ppil4-lock-v3-45ee93aea3ab,complete
27,candidate,23,14,,-106.512300,-116.200000,5.160793,0.480000,5,175,ppil4-lock-v3-45ee93aea3ab,complete
28,candidate,24,119,,-114.519800,-124.126000,4.741265,0.207000,1,172,ppil4-lock-v3-45ee93aea3ab,complete
29,candidate,25,27,,-110.092800,-137.888000,9.546329,0.021000,6,180,ppil4-lock-v3-45ee93aea3ab,complete
30,candidate,26,107,,-107.244600,-113.916000,3.697455,0.042000,5,180,ppil4-lock-v3-45ee93aea3ab,complete
31,candidate,27,186,,-113.244200,-126.623000,6.413553,0.065000,4,176,ppil4-lock-v3-45ee93aea3ab,complete
32,candidate,28,7,,-109.176700,-123.946000,7.153430,0.043000,5,177,ppil4-lock-v3-45ee93aea3ab,complete
33,candidate,29,63,,-111.608700,-124.262000,6.135899,0.021000,4,174,ppil4-lock-v3-45ee93aea3ab,complete
34,candidate,30,71,,-110.649900,-122.179000,4.706117,0.178000,1,175,ppil4-lock-v3-45ee93aea3ab,complete
