name,source_pool,role,decision,smiles,has_glutarimide,ryan_dockq,ryan_haddock_score,tyrone_mean10,rule_a_consensus,rule_b_dockq>=0.45,rule_c_beats_glue,reason
cand_1987,ryan18,candidate,BUY,CN(C)c1cc2c(c(-c3ccc(N4CCNCC4)cc3)c1)C(=O)N(C1CCC(=O)NC1=O)C2,True,0.475,-134.087,-499.497,yes,yes,yes,Passes all three rules (consensus in both pipelines).
cand_381,ryan18,candidate,BUY,O=C1CCC(N2Cc3c(Cl)ccc(-c4ccc(N5CCNCC5)cc4)c3C2=O)C(=O)N1,True,0.582,-132.1,-498.067,yes,yes,yes,Passes all three rules (consensus in both pipelines).
cand_491,ryan18,candidate,BUY,COc1ccc(-c2ccc(N3CCNCC3)cc2)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,True,0.579,-133.795,-497.661,yes,yes,yes,Passes all three rules (consensus in both pipelines).
cand_1668,ryan18,candidate,ADD,CNc1cc2c(c(-c3ccc(N4CCNCC4)cc3)c1)C(=O)N(C1CCC(=O)NC1=O)C2,True,0.619,-138.409,-494.323,no,yes,yes,"Best single structure (Ryan #1, dockq 0.62); passes b&c, off consensus by Tyrone rank 7."
tyrone_mol_1323,tyrone31,candidate,CONSIDER,N#Cc1c(Br)cc2c(c1C#N)C(=O)N(C1CCC(=O)NC1=O)C2=O,True,n/a,n/a,-485.033,no (not in Ryan pipeline),n/a (no ryan_dockq),yes,"Only Tyrone-31 molecule tier that beats the real glue on rule c; single-pipeline, size-biased -> low confidence."
tyrone_mol_44,tyrone31,candidate,CONSIDER,O=C1CCC(N2C(=O)c3ccc(I)c(Br)c3C2=O)C(=O)N1,True,n/a,n/a,-479.761,no (not in Ryan pipeline),n/a (no ryan_dockq),yes,"Only Tyrone-31 molecule tier that beats the real glue on rule c; single-pipeline, size-biased -> low confidence."
tyrone_mol_118,tyrone31,candidate,CONSIDER,COc1ccc2c(c1C#N)C(=O)N(C1CCC(=O)NC1=O)C2=O,True,n/a,n/a,-476.436,no (not in Ryan pipeline),n/a (no ryan_dockq),yes,"Only Tyrone-31 molecule tier that beats the real glue on rule c; single-pipeline, size-biased -> low confidence."
tyrone_mol_33,tyrone31,candidate,CONSIDER,O=C1CCC(N2C(=O)c3ccc(Br)c(Cl)c3C2=O)C(=O)N1,True,n/a,n/a,-476.13,no (not in Ryan pipeline),n/a (no ryan_dockq),yes,"Only Tyrone-31 molecule tier that beats the real glue on rule c; single-pipeline, size-biased -> low confidence."
positive_control_isoindolinone_pip,control,positive_control,CONTROL(+),O=C1CCC(C(N1)=O)N2CC3=C(C2=O)C=CC=C3C4=CC=C(C=C4)N5CCNCC5,True,0.178,-119.068,-475.308,,,,Confirmed CRBN-PPIL4 glue; glutarimide present; the -475.3 reference bar.
negative_control_fpft2216_no_degron,control,negative_control,CONTROL(-),COc1cscc1-c1cn(C)nn1,False,pending,pending,,,,,FPFT-2216 (real drug) minus its CRBN degron (glutarimide->N-methyl); GLUT=False; Vina CRBN affinity already drops to -6.0 (vs candidates ~-8); must score worse (docking pending).
