name,run_name,source_pool,role,decision,selection_axis,smiles,chemotype,has_glutarimide,haddock_mean_best10,haddock_best_model,sd_best_10,dock_rank_of_18,dock_z,structure_score_z,structure_rank_of_18,bsa_mean_best10,top_cluster_fraction,air_mean_best10,vdw_mean_best10,n_models,vina_crbn_affinity,vina_combined_affinity,vina_rank_of_18,degron_contact_overlap,p_crbn_glue,legacy_05_dockq,legacy_05_fnat,rule_a_upstream_crbn_pose,rule_b_structure_z_ge_0,rule_c_beats_Z6466608628,rules_passed,protocol_version,reason
RW_708,cand_708,ryan18_lock_v1,candidate,ADD,docking-extreme,N#Cc1ccc2c(c1-c1ccc(N3CCNCC3)cc1)C(=O)N(C1CCC(=O)NC1=O)C2=O,"nitrile phthalimide (di-oxo), phenylpiperazine arm",True,-132.101,-163.314,12.023,1,1.472,-1.019,18,1694.6,0.613,185.9,-71.62,160,-9.508,-15.971,7,0.657,0.965,0.409,0.554,no,no,yes,1,ppil4_lock_v1,"EXTREME on docking, poor on structure. Best score of all 18 (-132.1 mean) and the best single model in the entire study at -163.3, 15 units clear of the runner-up. But structure #18/18: only 15% top-cluster and sd 12.0 - one outstanding pose, not a converged funnel. Buy to test whether that single pose is real."
RW_491,cand_491,ryan18_lock_v1,candidate,ADD,docking,COc1ccc(-c2ccc(N3CCNCC3)cc2)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,"methoxy phthalimide (di-oxo), phenylpiperazine arm",True,-132.082,-148.067,7.555,2,1.468,-0.332,12,1750.6,0.712,197.6,-77.41,163,-9.188,-14.985,11,0.771,0.97,0.498,0.586,no,no,yes,1,ppil4_lock_v1,"EXTREME on docking (#2, -132.1) with the 2nd-best degron-contact overlap of the selected set (0.77), but structure only #15 - its top cluster holds just 10% of models. Buy for score; expect a less converged pose than the BUY tier."
RW_1987,cand_1987,ryan18_lock_v1,candidate,BUY,both,CN(C)c1cc2c(c(-c3ccc(N4CCNCC4)cc3)c1)C(=O)N(C1CCC(=O)NC1=O)C2,"dimethylamino isoindolinone (mono-oxo), phenylpiperazine arm",True,-129.905,-144.398,6.387,3,1.015,0.539,4,1794.4,0.805,179.5,-83.53,174,-9.759,-15.739,4,0.735,0.985,0.468,0.512,yes,yes,yes,3,ppil4_lock_v1,"Passes all 3 rules. Dock #3 (-129.9, beats the Z6466608628 glue bar), structure #2 (BSA 1794 = 2nd largest interface, 80% of models in one cluster), and Vina #4 with 0.74 degron-contact overlap. Strongest all-round molecule of the 18 - top-5 on every independent axis."
RW_1959,cand_1959,ryan18_lock_v1,candidate,BUY,both,O=C1CCC(N2Cc3cc(O)cc(-c4ccc(N5CCNCC5)cc4)c3C2=O)C(=O)N1,"hydroxy isoindolinone (mono-oxo), phenylpiperazine arm",True,-128.409,-140.851,6.043,4,0.703,0.014,8,1712.7,0.655,173.2,-79.33,171,-9.712,-15.659,5,0.75,0.985,0.468,0.512,yes,yes,yes,3,ppil4_lock_v1,"Passes all 3 rules. Dock #4 (-128.4, beats the glue bar), structure #5 (66% top-cluster, low AIR 173), Vina #5 with 0.75 degron overlap. Second-best all-round profile; hydroxy chemotype gives an H-bond handle the others lack."
RW_465,cand_465,ryan18_lock_v1,candidate,BUY,both,O=C1CCC(N2Cc3cc(Br)cc(-c4ccc(N5CCNCC5)cc4)c3C2=O)C(=O)N1,"bromo isoindolinone (mono-oxo), phenylpiperazine arm",True,-127.583,-132.816,3.472,5,0.531,0.469,5,1754.2,0.732,181.2,-74.95,179,-9.932,-15.806,2,0.7,0.99,0.468,0.512,yes,yes,yes,3,ppil4_lock_v1,"Passes all 3 rules. Dock #5 (-127.6) with sd 3.47 - the most reproducible top-10 of any glue-beating candidate - structure #7 (BSA 1754), and the #2 Vina CRBN affinity of the 18 (-9.93). Best halogenated all-rounder."
RW_1992,cand_1992,ryan18_lock_v1,candidate,BUY,both,O=C1CCC(N2Cc3c(cc(C(F)(F)F)cc3-c3ccc(N4CCNCC4)cc3)C2=O)C(=O)N1,"trifluoromethyl isoindolinone (mono-oxo), phenylpiperazine arm",True,-127.205,-132.65,3.711,6,0.452,0.617,3,1698.3,0.867,179.6,-75.26,165,-9.364,-15.999,8,0.844,0.96,0.354,0.480,yes,yes,yes,3,ppil4_lock_v1,"Passes all 3 rules. Structure #3 - the highest top-cluster fraction of the 18 (87%) with tight sd 3.7 - while still beating the glue bar at -127.2, and the best degron-contact overlap of any selected molecule (0.84). Unique CF3 chemotype -> an orthogonal electronic probe."
RW_2392,cand_2392,ryan18_lock_v1,candidate,NO-BUY,docking,O=C1CCC(N2Cc3c(ccc(C(=O)O)c3-c3ccc(N4CCNCC4)cc3)C2=O)C(=O)N1,"carboxylic-acid isoindolinone (mono-oxo), phenylpiperazine arm",True,-126.909,-141.788,7.059,7,0.391,-0.545,16,1644.3,0.675,186.3,-70.44,157,-9.107,-15.333,14,0.714,0.995,0.580,0.712,no,no,yes,1,ppil4_lock_v1,"HADDOCK -126.9 (beats the Z6466608628 glue bar); dock #7 of 18. Structure axis z=-0.54 (#16): BSA 1644, 68% of models in one cluster, AIR 186. Vina #14 (-9.11 CRBN), pose hits 11/13 degron-pocket residues. Passes 1/3 rules -> NO-BUY."
RW_234,cand_234,ryan18_lock_v1,candidate,NO-BUY,docking,N#Cc1ccc2c(c1-c1ccc(N3CCNCC3)cc1)CN(C1CCC(=O)NC1=O)C2=O,"cyano isoindolinone (mono-oxo), phenylpiperazine arm",True,-125.588,-143.383,7.142,8,0.115,-0.368,13,1790.8,0.644,200.2,-74.35,160,-9.282,-15.259,9,0.818,0.975,0.354,0.480,yes,no,no,1,ppil4_lock_v1,"HADDOCK -125.6 (below the noise floor but short of the Z6466608628 bar); dock #8 of 18. Structure axis z=-0.37 (#13): BSA 1791, 64% of models in one cluster, AIR 200. Vina #9 (-9.28 CRBN), pose hits 8/13 degron-pocket residues. Passes 1/3 rules -> NO-BUY."
RW_2123,cand_2123,ryan18_lock_v1,candidate,ADD,balanced,CNc1ccc(-c2ccc(N3CCNCC3)cc2)c2c1C(=O)N(C1CCC(=O)NC1=O)C2,"methylamino isoindolinone (mono-oxo), phenylpiperazine arm",True,-125.387,-133.144,6.958,9,0.074,-0.43,14,1776.7,0.515,184.8,-70.57,169,-9.7,-16.067,6,0.647,0.975,0.498,0.586,no,no,no,0,ppil4_lock_v1,"Balanced counterweight to the extremes: dock #9, structure #9, Vina #6, and the 2nd-best combined affinity of the 18 (-16.07). Fails all 3 hard rules narrowly (dock -125.39 vs bar -125.61; structure z -0.01; overlap 0.65). Included as the median-profile reference against which the single-axis picks are judged."
RW_1668,cand_1668,ryan18_lock_v1,candidate,ADD,structure-extreme,CNc1cc2c(c(-c3ccc(N4CCNCC4)cc3)c1)C(=O)N(C1CCC(=O)NC1=O)C2,"methylamino isoindolinone (mono-oxo), phenylpiperazine arm",True,-125.157,-130.225,1.988,10,0.026,0.964,1,1657.8,0.874,164.2,-74.29,167,-9.201,-14.841,10,0.686,0.975,0.468,0.512,no,yes,no,1,ppil4_lock_v1,"EXTREME on structure, mid on docking. Structure #1/18: 87% of models in one cluster, near-lowest AIR (164), and sd 1.99 - the most reproducible molecule in the whole study including controls. Dock only #10 (-125.2), just misses the glue bar. Position isomer of cand_2123 -> a matched SAR pair."
