final_corrected_haddock_rank,source,molecule,label,guided_selection_rank,vina_rank,canonical_smiles,rf_active_probability,vina_score_kcal_mol,pocket_centroid_distance_angstrom,ppil4_min_distance_angstrom,geometry_status,rf_component,vina_component,pocket_component,ppil4_geometry_component,composite_pre_haddock_score,max_similarity_to_other_selected,initial_ligand_pose,models_scored,best_haddock_score,mean_best_10_haddock_score,sd_best_10_haddock_score,median_haddock_score,worst_haddock_score,best_model_structure,best_model_path,vina_pose_file,guided_config
1,corrected halogen retry,1323,candidate_1323,20,226,N#Cc1c(Br)cc2c(c1C#N)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.984,-8.586,1.025,2.4130953151502257,eligible,0.5833333333333334,0.21056977704376612,0.47058823529411775,0.6852059876249066,0.46423614498235605,0.7346938775510204,Vina pose transformed from 4CI1 into 9DWV CRBN frame,200,-505.586,-485.033,13.965,-427.170,-384.088,emscoring_123.pdb,haddock3_ternary/guided_ppil4_9DWV_halogen_retry_baseline/rank226_molecule_1323/run/3_emscoring/emscoring_123.pdb,,haddock3_ternary/guided_ppil4_9DWV_halogen_retry_baseline/rank226_molecule_1323/guided_ppil4_haddock.cfg
2,corrected halogen retry,44,candidate_44,9,80,O=C1CCC(N2C(=O)c3ccc(I)c(Br)c3C2=O)C(=O)N1,0.986,-9.404,1.31,2.197532707378874,eligible,0.6666666666666666,0.8860445912469035,0.1815415821501014,0.5810870325668331,0.6226180820224496,0.7555555555555555,Vina pose transformed from 4CI1 into 9DWV CRBN frame,200,-500.260,-479.761,11.044,-430.713,-387.731,emscoring_190.pdb,haddock3_ternary/guided_ppil4_9DWV_halogen_retry_baseline/rank080_molecule_44/run/3_emscoring/emscoring_190.pdb,,haddock3_ternary/guided_ppil4_9DWV_halogen_retry_baseline/rank080_molecule_44/guided_ppil4_haddock.cfg
3,corrected rerun,118,candidate_118,7,115,COc1ccc2c(c1C#N)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.976,-9.288,0.943,2.536718549622713,eligible,0.25,0.7902559867877791,0.5537525354969575,0.7430948614616512,0.5467915323549729,0.7254901960784313,Vina pose transformed from 4CI1 into 9DWV CRBN frame,200,-502.118,-476.436,13.564,-421.772,-383.492,emscoring_173.pdb,haddock3_ternary/guided_ppil4_9DWV_corrected_full_calibration/rank115_molecule_118/run/3_emscoring/emscoring_173.pdb,crbn_vina_rf_top500/279_118_pose.pdbqt,haddock3_ternary/guided_ppil4_9DWV_corrected_full_calibration/rank115_molecule_118/guided_ppil4_haddock.cfg
4,corrected halogen retry,33,candidate_33,16,74,O=C1CCC(N2C(=O)c3ccc(Br)c(Cl)c3C2=O)C(=O)N1,0.98,-9.435,1.294,2.273636074661012,eligible,0.4166666666666667,0.9116432700247735,0.19776876267748478,0.6179980896198054,0.5515797803192332,0.7555555555555555,Vina pose transformed from 4CI1 into 9DWV CRBN frame,200,-506.164,-476.130,13.878,-427.329,-376.368,emscoring_150.pdb,haddock3_ternary/guided_ppil4_9DWV_halogen_retry_baseline/rank074_molecule_33/run/3_emscoring/emscoring_150.pdb,,haddock3_ternary/guided_ppil4_9DWV_halogen_retry_baseline/rank074_molecule_33/guided_ppil4_haddock.cfg
5,corrected halogen retry,150,candidate_150,24,233,N#Cc1cc(Br)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.984,-8.428,0.763,2.2143326308393747,eligible,0.5833333333333334,0.08009909165978635,0.7363083164300204,0.5892286402196527,0.46384235348355457,0.7346938775510204,Vina pose transformed from 4CI1 into 9DWV CRBN frame,200,-490.691,-474.373,9.250,-423.911,-383.022,emscoring_78.pdb,haddock3_ternary/guided_ppil4_9DWV_halogen_retry_baseline/rank233_molecule_150/run/3_emscoring/emscoring_78.pdb,,haddock3_ternary/guided_ppil4_9DWV_halogen_retry_baseline/rank233_molecule_150/guided_ppil4_haddock.cfg
6,corrected rerun,34,candidate_34,22,95,O=C1CCC(N2C(=O)c3ccc(I)c(Cl)c3C2=O)C(=O)N1,0.978,-9.369,1.328,2.1942256037153434,eligible,0.3333333333333333,0.8571428571428572,0.16328600405679516,0.5794853090062904,0.4933895209718264,0.7555555555555555,Vina pose transformed from 4CI1 into 9DWV CRBN frame,200,-496.773,-474.202,12.620,-427.798,-392.313,emscoring_50.pdb,haddock3_ternary/guided_ppil4_9DWV_corrected_full_calibration/rank095_molecule_34/run/3_emscoring/emscoring_50.pdb,crbn_vina_rf_top500/201_34_pose.pdbqt,haddock3_ternary/guided_ppil4_9DWV_corrected_full_calibration/rank095_molecule_34/guided_ppil4_haddock.cfg
7,corrected rerun,67,candidate_67,11,99,Cc1c(O)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.982,-9.355,1.113,2.5361078447100707,eligible,0.5,0.8455821635012392,0.3813387423935092,0.7428150505091817,0.6163646551054508,0.7555555555555555,Vina pose transformed from 4CI1 into 9DWV CRBN frame,200,-487.015,-473.512,9.062,-429.815,-388.735,emscoring_11.pdb,haddock3_ternary/guided_ppil4_9DWV_corrected_full_calibration/rank099_molecule_67/run/3_emscoring/emscoring_11.pdb,crbn_vina_rf_top500/99_67_pose.pdbqt,haddock3_ternary/guided_ppil4_9DWV_corrected_full_calibration/rank099_molecule_67/guided_ppil4_haddock.cfg
8,corrected rerun,37,candidate_37,10,124,O=C1CCC(N2C(=O)c3ccc(O)c(Cl)c3C2=O)C(=O)N1,0.984,-9.262,1.118,2.5225950923602305,eligible,0.5833333333333334,0.7687861271676306,0.3762677484787018,0.7366057174068756,0.6205469121237276,0.7555555555555555,Vina pose transformed from 4CI1 into 9DWV CRBN frame,200,-501.672,-472.474,15.392,-419.317,-386.089,emscoring_199.pdb,haddock3_ternary/guided_ppil4_9DWV_corrected_full_calibration/rank124_molecule_37/run/3_emscoring/emscoring_199.pdb,crbn_vina_rf_top500/65_37_pose.pdbqt,haddock3_ternary/guided_ppil4_9DWV_corrected_full_calibration/rank124_molecule_37/guided_ppil4_haddock.cfg
9,corrected rerun,58,candidate_58,29,201,COc1ccc2c(c1I)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.976,-8.879,1.389,2.240118300447551,eligible,0.25,0.4525185796862097,0.10141987829614607,0.6017359163995016,0.33379993702501737,0.7254901960784313,Vina pose transformed from 4CI1 into 9DWV CRBN frame,200,-497.473,-472.212,12.338,-416.632,-374.400,emscoring_170.pdb,haddock3_ternary/guided_ppil4_9DWV_corrected_full_calibration/rank201_molecule_58/run/3_emscoring/emscoring_170.pdb,crbn_vina_rf_top500/274_58_pose.pdbqt,haddock3_ternary/guided_ppil4_9DWV_corrected_full_calibration/rank201_molecule_58/guided_ppil4_haddock.cfg
10,corrected rerun,171,candidate_171,21,79,CCc1cc(F)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.976,-9.406,1.189,2.1256787151401757,eligible,0.25,0.8876961189099924,0.3042596348884381,0.5464005970185785,0.4966208522034721,0.7083333333333334,Vina pose transformed from 4CI1 into 9DWV CRBN frame,200,-497.676,-471.934,17.092,-418.314,-378.208,emscoring_167.pdb,haddock3_ternary/guided_ppil4_9DWV_corrected_full_calibration/rank079_molecule_171/run/3_emscoring/emscoring_167.pdb,crbn_vina_rf_top500/281_171_pose.pdbqt,haddock3_ternary/guided_ppil4_9DWV_corrected_full_calibration/rank079_molecule_171/guided_ppil4_haddock.cfg
11,corrected halogen retry,773,candidate_773,28,241,Cc1c(Br)cc2c(c1C)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.978,-8.365,0.752,2.532078592777078,eligible,0.3333333333333333,0.028075970272502637,0.7474645030425964,0.7409671459048366,0.3857274302426622,0.7391304347826086,Vina pose transformed from 4CI1 into 9DWV CRBN frame,200,-491.111,-471.711,11.942,-427.069,-390.947,emscoring_86.pdb,haddock3_ternary/guided_ppil4_9DWV_halogen_retry_baseline/rank241_molecule_773/run/3_emscoring/emscoring_86.pdb,,haddock3_ternary/guided_ppil4_9DWV_halogen_retry_baseline/rank241_molecule_773/guided_ppil4_haddock.cfg
12,corrected rerun,64,candidate_64,14,59,Cc1c(I)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.98,-9.478,1.260,2.2837368499894883,eligible,0.4166666666666667,0.9471511147811725,0.2322515212981745,0.6228966056393563,0.5698634628732235,0.7555555555555555,Vina pose transformed from 4CI1 into 9DWV CRBN frame,200,-497.791,-469.942,14.953,-416.625,-375.910,emscoring_123.pdb,haddock3_ternary/guided_ppil4_9DWV_corrected_full_calibration/rank059_molecule_64/run/3_emscoring/emscoring_123.pdb,crbn_vina_rf_top500/150_64_pose.pdbqt,haddock3_ternary/guided_ppil4_9DWV_corrected_full_calibration/rank059_molecule_64/guided_ppil4_haddock.cfg
13,FPFT-2216 Vina-to-HADDOCK baseline,FPFT-2216,FPFT-2216_Vina_to_HADDOCK_baseline,,,COc1cscc1-c1cn([C@H]2CCC(=O)NC2=O)nn1,not applicable: reference control,-8.281,2.252,not applicable: reference control,not applicable: reference control,,,,,,,Vina pose transformed from 4CI1 into 9DWV CRBN frame,200,-501.882,-469.635,13.704,-418.557,-381.103,emscoring_33.pdb,haddock3_ternary/guided_ppil4_9DWV_corrected_full_calibration/baseline_fpft2216_from_vina/run/3_emscoring/emscoring_33.pdb,haddock3_ternary/guided_ppil4_9DWV_corrected_full_calibration/fpft2216_from_vina/fpft2216_vina_pose_4CI1.pdbqt,haddock3_ternary/guided_ppil4_9DWV_corrected_full_calibration/baseline_fpft2216_from_vina/guided_ppil4_haddock.cfg
14,corrected halogen retry,163,candidate_163,25,228,Cc1cc(Br)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.972,-8.522,0.503,2.943767314174122,eligible,0.08333333333333333,0.15772089182493865,1.0,0.9057369690295489,0.41234347956858064,0.7021276595744681,Vina pose transformed from 4CI1 into 9DWV CRBN frame,200,-505.961,-467.451,15.264,-427.954,-379.934,emscoring_10.pdb,haddock3_ternary/guided_ppil4_9DWV_halogen_retry_baseline/rank228_molecule_163/run/3_emscoring/emscoring_10.pdb,,haddock3_ternary/guided_ppil4_9DWV_halogen_retry_baseline/rank228_molecule_163/guided_ppil4_haddock.cfg
15,corrected halogen retry,47,candidate_47,4,113,O=C1CCC(N2C(=O)c3ccc(O)c(Br)c3C2=O)C(=O)N1,0.99,-9.289,1.304,2.304741851054035,eligible,0.8333333333333334,0.7910817506193228,0.18762677484787027,0.6330755867375301,0.661477884832667,0.7555555555555555,Vina pose transformed from 4CI1 into 9DWV CRBN frame,200,-491.535,-466.642,13.351,-417.606,-381.023,emscoring_141.pdb,haddock3_ternary/guided_ppil4_9DWV_halogen_retry_baseline/rank113_molecule_47/run/3_emscoring/emscoring_141.pdb,,haddock3_ternary/guided_ppil4_9DWV_halogen_retry_baseline/rank113_molecule_47/guided_ppil4_haddock.cfg
16,corrected halogen retry,45,candidate_45,19,70,Cc1ccc2c(c1Br)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.978,-9.448,1.289,2.3181257515501614,eligible,0.3333333333333333,0.9223781998348477,0.20283975659229225,0.6395537851297385,0.5298811457050402,0.7555555555555555,Vina pose transformed from 4CI1 into 9DWV CRBN frame,200,-497.533,-465.180,14.224,-416.802,-387.095,emscoring_10.pdb,haddock3_ternary/guided_ppil4_9DWV_halogen_retry_baseline/rank070_molecule_45/run/3_emscoring/emscoring_10.pdb,,haddock3_ternary/guided_ppil4_9DWV_halogen_retry_baseline/rank070_molecule_45/guided_ppil4_haddock.cfg
17,corrected halogen retry,3,candidate_3,13,128,O=C1CCC(N2C(=O)c3cccc(Br)c3C2=O)C(=O)N1,0.984,-9.246,1.359,2.6816004549522274,eligible,0.5833333333333334,0.7555739058629238,0.13184584178498993,0.8070828910695701,0.5782704404429773,0.7441860465116279,Vina pose transformed from 4CI1 into 9DWV CRBN frame,200,-483.711,-464.621,10.147,-419.163,-379.950,emscoring_78.pdb,haddock3_ternary/guided_ppil4_9DWV_halogen_retry_baseline/rank128_molecule_3/run/3_emscoring/emscoring_78.pdb,,haddock3_ternary/guided_ppil4_9DWV_halogen_retry_baseline/rank128_molecule_3/guided_ppil4_haddock.cfg
18,corrected rerun,17,candidate_17,2,199,O=C1CCC(N2C(=O)c3ccc(O)cc3C2=O)C(=O)N1,0.994,-8.901,0.923,2.1066791402584353,eligible,1.0,0.4706853839801818,0.5740365111561866,0.5372832985181046,0.6866054122030075,0.7317073170731707,Vina pose transformed from 4CI1 into 9DWV CRBN frame,200,-500.563,-464.572,13.481,-426.655,-388.058,emscoring_141.pdb,haddock3_ternary/guided_ppil4_9DWV_corrected_full_calibration/rank199_molecule_17/run/3_emscoring/emscoring_141.pdb,crbn_vina_rf_top500/01_17_pose.pdbqt,haddock3_ternary/guided_ppil4_9DWV_corrected_full_calibration/rank199_molecule_17/guided_ppil4_haddock.cfg
19,corrected rerun,181,candidate_181,12,69,O=C1CCC(N2C(=O)c3cc(F)cc(O)c3C2=O)C(=O)N1,0.982,-9.449,1.359,2.253755310587191,eligible,0.5,0.9232039636663915,0.13184584178498993,0.6083528230328231,0.5695832809118389,0.7391304347826086,Vina pose transformed from 4CI1 into 9DWV CRBN frame,200,-480.884,-464.267,6.512,-426.376,-382.201,emscoring_104.pdb,haddock3_ternary/guided_ppil4_9DWV_corrected_full_calibration/rank069_molecule_181/run/3_emscoring/emscoring_104.pdb,crbn_vina_rf_top500/102_181_pose.pdbqt,haddock3_ternary/guided_ppil4_9DWV_corrected_full_calibration/rank069_molecule_181/guided_ppil4_haddock.cfg
20,corrected rerun,337,candidate_337,18,248,O=C1CCC(N2C(=O)c3cc(O)c(F)c(F)c3C2=O)C(=O)N1,0.986,-8.331,0.705,2.898005003446328,eligible,0.6666666666666666,0.0,0.7951318458417851,0.8905042957576151,0.5259353468653326,0.8043478260869565,Vina pose transformed from 4CI1 into 9DWV CRBN frame,200,-481.630,-464.002,10.434,-418.349,-382.593,emscoring_6.pdb,haddock3_ternary/guided_ppil4_9DWV_corrected_full_calibration/rank248_molecule_337/run/3_emscoring/emscoring_6.pdb,crbn_vina_rf_top500/44_337_pose.pdbqt,haddock3_ternary/guided_ppil4_9DWV_corrected_full_calibration/rank248_molecule_337/guided_ppil4_haddock.cfg
21,corrected halogen retry,537,candidate_537,27,246,O=C1CCC(N2C(=O)c3cc(O)c(F)c(Br)c3C2=O)C(=O)N1,0.982,-8.345,0.731,2.64420668632389,eligible,0.5,0.01156069364161938,0.7687626774847871,0.7910751553569313,0.45088201689298296,0.8043478260869565,Vina pose transformed from 4CI1 into 9DWV CRBN frame,200,-496.494,-463.890,15.114,-418.252,-367.938,emscoring_141.pdb,haddock3_ternary/guided_ppil4_9DWV_halogen_retry_baseline/rank246_molecule_537/run/3_emscoring/emscoring_141.pdb,,haddock3_ternary/guided_ppil4_9DWV_halogen_retry_baseline/rank246_molecule_537/guided_ppil4_haddock.cfg
22,corrected rerun,6,candidate_6,5,126,CCc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.982,-9.253,1.119,2.565077971524434,eligible,0.5,0.7613542526837327,0.37525354969574043,0.7560064706448202,0.5918579563409909,0.7111111111111111,Vina pose transformed from 4CI1 into 9DWV CRBN frame,200,-480.297,-463.482,9.879,-421.878,-380.134,emscoring_12.pdb,haddock3_ternary/guided_ppil4_9DWV_corrected_full_calibration/rank126_molecule_6/run/3_emscoring/emscoring_12.pdb,crbn_vina_rf_top500/96_6_pose.pdbqt,haddock3_ternary/guided_ppil4_9DWV_corrected_full_calibration/rank126_molecule_6/guided_ppil4_haddock.cfg
23,corrected rerun,57,candidate_57,3,108,O=C1CCC(N2C(=O)c3ccc(O)c(I)c3C2=O)C(=O)N1,0.99,-9.311,1.263,2.357223154476465,eligible,0.8333333333333334,0.809248554913295,0.22920892494929024,0.6584277690312833,0.6790471834852057,0.7555555555555555,Vina pose transformed from 4CI1 into 9DWV CRBN frame,200,-478.673,-461.088,10.377,-421.235,-379.067,emscoring_24.pdb,haddock3_ternary/guided_ppil4_9DWV_corrected_full_calibration/rank108_molecule_57/run/3_emscoring/emscoring_24.pdb,crbn_vina_rf_top500/10_57_pose.pdbqt,haddock3_ternary/guided_ppil4_9DWV_corrected_full_calibration/rank108_molecule_57/guided_ppil4_haddock.cfg
24,corrected rerun,14,candidate_14,15,143,O=C1CCC(N2C(=O)c3ccc(I)cc3C2=O)C(=O)N1,0.986,-9.179,1.426,2.2858409830957007,eligible,0.6666666666666666,0.7002477291494638,0.0638945233265722,0.6239167843834358,0.5497740744010022,0.7317073170731707,Vina pose transformed from 4CI1 into 9DWV CRBN frame,200,-476.255,-460.172,9.911,-416.533,-377.941,emscoring_82.pdb,haddock3_ternary/guided_ppil4_9DWV_corrected_full_calibration/rank143_molecule_14/run/3_emscoring/emscoring_82.pdb,crbn_vina_rf_top500/33_14_pose.pdbqt,haddock3_ternary/guided_ppil4_9DWV_corrected_full_calibration/rank143_molecule_14/guided_ppil4_haddock.cfg
25,corrected rerun,119,candidate_119,23,116,N#Cc1c(N)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.974,-9.288,1.167,2.3335093743115785,eligible,0.16666666666666666,0.7902559867877791,0.32657200811359033,0.6469902063957648,0.4577730619517498,0.7115384615384616,Vina pose transformed from 4CI1 into 9DWV CRBN frame,200,-474.346,-459.885,9.021,-417.469,-382.004,emscoring_109.pdb,haddock3_ternary/guided_ppil4_9DWV_corrected_full_calibration/rank116_molecule_119/run/3_emscoring/emscoring_109.pdb,crbn_vina_rf_top500/338_119_pose.pdbqt,haddock3_ternary/guided_ppil4_9DWV_corrected_full_calibration/rank116_molecule_119/guided_ppil4_haddock.cfg
26,corrected rerun,27,candidate_27,6,135,O=C1CCC(N2C(=O)c3ccc(O)c(F)c3C2=O)C(=O)N1,0.986,-9.208,1.110,2.517859805469712,eligible,0.6666666666666666,0.7241948802642448,0.38438133874239344,0.7344217708234217,0.6376313307845988,0.7555555555555555,Vina pose transformed from 4CI1 into 9DWV CRBN frame,200,-474.906,-459.721,7.883,-420.236,-369.078,emscoring_7.pdb,haddock3_ternary/guided_ppil4_9DWV_corrected_full_calibration/rank135_molecule_27/run/3_emscoring/emscoring_7.pdb,crbn_vina_rf_top500/36_27_pose.pdbqt,haddock3_ternary/guided_ppil4_9DWV_corrected_full_calibration/rank135_molecule_27/guided_ppil4_haddock.cfg
27,corrected halogen retry,107,candidate_107,30,202,Nc1c(O)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.974,-8.878,1.323,2.3004186575491032,eligible,0.16666666666666666,0.4516928158546659,0.16835699797160253,0.6309816314477853,0.3221598224012214,0.7555555555555555,Vina pose transformed from 4CI1 into 9DWV CRBN frame,200,-472.984,-458.601,8.492,-414.864,-371.092,emscoring_139.pdb,haddock3_ternary/guided_ppil4_9DWV_halogen_retry_baseline/rank202_molecule_107/run/3_emscoring/emscoring_139.pdb,,haddock3_ternary/guided_ppil4_9DWV_halogen_retry_baseline/rank202_molecule_107/guided_ppil4_haddock.cfg
28,corrected rerun,186,candidate_186,17,178,CCc1cc(O)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.98,-9.029,1.078,2.440443812096462,eligible,0.4166666666666667,0.5763831544178366,0.4168356997971603,0.6981990947195671,0.5068452838260515,0.6938775510204082,Vina pose transformed from 4CI1 into 9DWV CRBN frame,200,-480.676,-457.928,9.137,-416.025,-375.307,emscoring_108.pdb,haddock3_ternary/guided_ppil4_9DWV_corrected_full_calibration/rank178_molecule_186/run/3_emscoring/emscoring_108.pdb,crbn_vina_rf_top500/157_186_pose.pdbqt,haddock3_ternary/guided_ppil4_9DWV_corrected_full_calibration/rank178_molecule_186/guided_ppil4_haddock.cfg
29,corrected rerun,7,candidate_7,8,98,O=C1CCC(N2C(=O)c3cccc(O)c3C2=O)C(=O)N1,0.988,-9.355,1.489,2.256656597712634,eligible,0.75,0.8455821635012392,0.0,0.6097605736215628,0.6076387350936061,0.7441860465116279,Vina pose transformed from 4CI1 into 9DWV CRBN frame,200,-475.342,-457.927,10.226,-417.050,-373.260,emscoring_145.pdb,haddock3_ternary/guided_ppil4_9DWV_corrected_full_calibration/rank098_molecule_7/run/3_emscoring/emscoring_145.pdb,crbn_vina_rf_top500/18_7_pose.pdbqt,haddock3_ternary/guided_ppil4_9DWV_corrected_full_calibration/rank098_molecule_7/guided_ppil4_haddock.cfg
30,corrected halogen retry,63,candidate_63,1,46,Cc1c(Br)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.98,-9.542,1.049,2.4883273498476655,eligible,0.4166666666666667,1.0,0.44624746450304276,0.7207131317857227,0.6431897960018003,0.7555555555555555,Vina pose transformed from 4CI1 into 9DWV CRBN frame,200,-496.121,-457.660,16.435,-416.154,-380.363,emscoring_10.pdb,haddock3_ternary/guided_ppil4_9DWV_halogen_retry_baseline/rank046_molecule_63/run/3_emscoring/emscoring_10.pdb,,haddock3_ternary/guided_ppil4_9DWV_halogen_retry_baseline/rank046_molecule_63/guided_ppil4_haddock.cfg
31,corrected rerun,71,candidate_71,26,180,CCc1c(F)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.976,-9.02,1.257,2.4032122253350834,eligible,0.25,0.5689512799339388,0.235294117647059,0.6804901747677682,0.4073177337247587,0.66,Vina pose transformed from 4CI1 into 9DWV CRBN frame,200,-472.637,-457.055,8.333,-417.450,-380.071,emscoring_12.pdb,haddock3_ternary/guided_ppil4_9DWV_corrected_full_calibration/rank180_molecule_71/run/3_emscoring/emscoring_12.pdb,crbn_vina_rf_top500/276_71_pose.pdbqt,haddock3_ternary/guided_ppil4_9DWV_corrected_full_calibration/rank180_molecule_71/guided_ppil4_haddock.cfg
