final_corrected_haddock_rank,source,kind,molecule,label,smiles,canonical_smiles,rf_active_probability,vina_score_kcal_mol,pocket_centroid_distance_angstrom,vina_box_reference,vina_pose_file,models_scored,best_haddock_score,mean_best_10_haddock_score,sd_best_10_haddock_score,median_haddock_score,worst_haddock_score,best_model_structure,best_model_path,guided_config
1,Ryan matched candidate,ryan_candidate,cand_1959,cand_1959,O=C1CCC(N2Cc3cc(O)cc(-c4ccc(N5CCNCC5)cc4)c3C2=O)C(=O)N1,O=C1CCC(N2Cc3cc(O)cc(-c4ccc(N5CCNCC5)cc4)c3C2=O)C(=O)N1,0.985,-9.913,3.821,EF2 chain B residue 1429,haddock3_ternary/ryan18_friend19_corrected/vina/cand_1959_pose_4CI1.pdbqt,200,-531.241,-499.574,11.741,-450.885,-395.962,emscoring_188.pdb,haddock3_ternary/ryan18_friend19_corrected/08_cand_1959/run/3_emscoring/emscoring_188.pdb,haddock3_ternary/ryan18_friend19_corrected/08_cand_1959/guided_ppil4_haddock.cfg
2,Ryan matched candidate,ryan_candidate,cand_1987,cand_1987,CN(C)c1cc2c(c(-c3ccc(N4CCNCC4)cc3)c1)C(=O)N(C1CCC(=O)NC1=O)C2,CN(C)c1cc2c(c(-c3ccc(N4CCNCC4)cc3)c1)C(=O)N(C1CCC(=O)NC1=O)C2,0.985,-9.828,3.655,EF2 chain B residue 1429,haddock3_ternary/ryan18_friend19_corrected/vina/cand_1987_pose_4CI1.pdbqt,200,-512.895,-499.497,8.444,-452.678,-418.776,emscoring_48.pdb,haddock3_ternary/ryan18_friend19_corrected/04_cand_1987/run/3_emscoring/emscoring_48.pdb,haddock3_ternary/ryan18_friend19_corrected/04_cand_1987/guided_ppil4_haddock.cfg
3,Ryan matched candidate,ryan_candidate,cand_381,cand_381,O=C1CCC(N2Cc3c(Cl)ccc(-c4ccc(N5CCNCC5)cc4)c3C2=O)C(=O)N1,O=C1CCC(N2Cc3c(Cl)ccc(-c4ccc(N5CCNCC5)cc4)c3C2=O)C(=O)N1,0.985,-8.970,1.639,EF2 chain B residue 1429,haddock3_ternary/ryan18_friend19_corrected/vina/cand_381_pose_4CI1.pdbqt,200,-535.734,-498.067,14.776,-447.809,-410.476,emscoring_159.pdb,haddock3_ternary/ryan18_friend19_corrected/06_cand_381/run/3_emscoring/emscoring_159.pdb,haddock3_ternary/ryan18_friend19_corrected/06_cand_381/guided_ppil4_haddock.cfg
4,Ryan matched candidate,ryan_candidate,cand_491,cand_491,COc1ccc(-c2ccc(N3CCNCC3)cc2)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,COc1ccc(-c2ccc(N3CCNCC3)cc2)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.97,-8.011,2.909,EF2 chain B residue 1429,haddock3_ternary/ryan18_friend19_corrected/vina/cand_491_pose_4CI1.pdbqt,200,-529.246,-497.661,14.970,-447.971,-414.278,emscoring_9.pdb,haddock3_ternary/ryan18_friend19_corrected/05_cand_491/run/3_emscoring/emscoring_9.pdb,haddock3_ternary/ryan18_friend19_corrected/05_cand_491/guided_ppil4_haddock.cfg
5,Ryan matched candidate,ryan_candidate,cand_2123,cand_2123,CNc1ccc(-c2ccc(N3CCNCC3)cc2)c2c1C(=O)N(C1CCC(=O)NC1=O)C2,CNc1ccc(-c2ccc(N3CCNCC3)cc2)c2c1C(=O)N(C1CCC(=O)NC1=O)C2,0.975,-10.030,1.840,EF2 chain B residue 1429,haddock3_ternary/ryan18_friend19_corrected/vina/cand_2123_pose_4CI1.pdbqt,200,-513.669,-497.423,12.588,-444.606,-399.986,emscoring_103.pdb,haddock3_ternary/ryan18_friend19_corrected/12_cand_2123/run/3_emscoring/emscoring_103.pdb,haddock3_ternary/ryan18_friend19_corrected/12_cand_2123/guided_ppil4_haddock.cfg
6,Ryan matched candidate,ryan_candidate,cand_1078,cand_1078,O=C1CCC(N2C(=O)c3cc(F)cc(-c4ccc(N5CCNCC5)cc4)c3C2=O)C(=O)N1,O=C1CCC(N2C(=O)c3cc(F)cc(-c4ccc(N5CCNCC5)cc4)c3C2=O)C(=O)N1,0.98,-10.160,1.664,EF2 chain B residue 1429,haddock3_ternary/ryan18_friend19_corrected/vina/cand_1078_pose_4CI1.pdbqt,200,-520.066,-495.542,13.839,-445.986,-400.446,emscoring_76.pdb,haddock3_ternary/ryan18_friend19_corrected/10_cand_1078/run/3_emscoring/emscoring_76.pdb,haddock3_ternary/ryan18_friend19_corrected/10_cand_1078/guided_ppil4_haddock.cfg
7,Ryan matched candidate,ryan_candidate,cand_1668,cand_1668,CNc1cc2c(c(-c3ccc(N4CCNCC4)cc3)c1)C(=O)N(C1CCC(=O)NC1=O)C2,CNc1cc2c(c(-c3ccc(N4CCNCC4)cc3)c1)C(=O)N(C1CCC(=O)NC1=O)C2,0.975,-9.158,2.325,EF2 chain B residue 1429,haddock3_ternary/ryan18_friend19_corrected/vina/cand_1668_pose_4CI1.pdbqt,200,-521.396,-494.323,15.641,-439.391,-404.043,emscoring_90.pdb,haddock3_ternary/ryan18_friend19_corrected/01_cand_1668/run/3_emscoring/emscoring_90.pdb,haddock3_ternary/ryan18_friend19_corrected/01_cand_1668/guided_ppil4_haddock.cfg
8,Ryan matched candidate,ryan_candidate,cand_234,cand_234,N#Cc1ccc2c(c1-c1ccc(N3CCNCC3)cc1)CN(C1CCC(=O)NC1=O)C2=O,N#Cc1ccc2c(c1-c1ccc(N3CCNCC3)cc1)CN(C1CCC(=O)NC1=O)C2=O,0.975,-9.365,2.148,EF2 chain B residue 1429,haddock3_ternary/ryan18_friend19_corrected/vina/cand_234_pose_4CI1.pdbqt,200,-508.491,-489.672,11.297,-444.147,-402.151,emscoring_73.pdb,haddock3_ternary/ryan18_friend19_corrected/11_cand_234/run/3_emscoring/emscoring_73.pdb,haddock3_ternary/ryan18_friend19_corrected/11_cand_234/guided_ppil4_haddock.cfg
9,Ryan matched candidate,ryan_candidate,cand_779,cand_779,O=C1CCC(N2C(=O)c3cc(Br)cc(-c4ccc(N5CCNCC5)cc4)c3C2=O)C(=O)N1,O=C1CCC(N2C(=O)c3cc(Br)cc(-c4ccc(N5CCNCC5)cc4)c3C2=O)C(=O)N1,0.995,-10.300,1.560,EF2 chain B residue 1429,haddock3_ternary/ryan18_friend19_corrected/vina/cand_779_pose_4CI1.pdbqt,200,-503.324,-488.025,9.709,-442.058,-402.409,emscoring_76.pdb,haddock3_ternary/ryan18_friend19_corrected/03_cand_779/run/3_emscoring/emscoring_76.pdb,haddock3_ternary/ryan18_friend19_corrected/03_cand_779/guided_ppil4_haddock.cfg
10,Ryan matched candidate,ryan_candidate,cand_672,cand_672,Cc1cc2c(cc1-c1ccc(N3CCNCC3)cc1)C(=O)N(C1CCC(=O)NC1=O)C2,Cc1cc2c(cc1-c1ccc(N3CCNCC3)cc1)C(=O)N(C1CCC(=O)NC1=O)C2,0.99,-8.321,5.249,EF2 chain B residue 1429,haddock3_ternary/ryan18_friend19_corrected/vina/cand_672_pose_4CI1.pdbqt,200,-500.273,-488.015,5.756,-434.423,-386.743,emscoring_96.pdb,haddock3_ternary/ryan18_friend19_corrected/18_cand_672/run/3_emscoring/emscoring_96.pdb,haddock3_ternary/ryan18_friend19_corrected/18_cand_672/guided_ppil4_haddock.cfg
